Driver	Constructor	Laps	Time/Retired	Grid
Emerson Fittipaldi	McLaren - Ford	53	1:39:26.29	5
James Hunt	Hesketh - Ford	53	+ 5.91	6
Carlos Reutemann	Brabham - Ford	53	+ 17.06	3
Clay Regazzoni	Ferrari	53	+ 35.79	7
Patrick Depailler	Tyrrell - Ford	53	+ 54.25	8
Niki Lauda	Ferrari	53	+ 1:19.65	4
Mark Donohue	Penske - Ford	52	+ 1 Lap	16
Jacky Ickx	Lotus - Ford	52	+ 1 Lap	18
Vittorio Brambilla	March - Ford	52	+ 1 Lap	12
Graham Hill	Lola - Ford	52	+ 1 Lap	21
Jody Scheckter	Tyrrell - Ford	52	+ 1 Lap	9
Tom Pryce	Shadow - Ford	51	Transmission	14
Rolf Stommelen	Lola - Ford	51	+ 2 Laps	19
Jochen Mass	McLaren - Ford	50	+ 3 Laps	13
Carlos Pace	Brabham - Ford	46	Engine	2
Arturo Merzario	Williams - Ford	44	Not Classified	20
Mario Andretti	Parnelli - Ford	27	Transmission	10
Mike Wilds	BRM	24	Engine	22
Ronnie Peterson	Lotus - Ford	15	Engine	11
Jacques Laffite	Williams - Ford	15	Gearbox	17
Wilson Fittipaldi	Fittipaldi - Ford	12	Accident	23
John Watson	Surtees - Ford	6	Disqualified	15
Jean-Pierre Jarier	Shadow - Ford	0	Transmission	1
