Round	Race	Circuit	Date	Event	Winning driver
1	Int. ADAC-Preis Hockenheim	Hockenheimring	19 April	Sprint Race	Uwe Alzen Manuel Reuter
2	60. Int. ADAC Eifelrennen	Nürburgring	10 May	Sprint Race	Roland Asch Johnny Cecotto
3	Sachsenring	Sachsenring	24 May	Sprint Race	Johnny Cecotto Johnny Cecotto
4	200 Meilen von Nürnberg	Norisring	6 July	Sprint Race	Jörg van Ommen Laurent Aiello
5	ADAC-Regio-Preis Lahr	Regio-Ring	19 July	Sprint Race	Uwe Alzen Gabriele Tarquini
6	35. Int. ADAC - Flugplatzrennen	Wunstorf	2 August	Sprint Race	Laurent Aiello Manuel Reuter
7	Int. ADAC Preis von Zweibrücken	Zweibrücken	16 August	Sprint Race	Johnny Cecotto Johnny Cecotto
8	Int. ADAC Alpentrophäe	Salzburgring	30 August	Sprint Race	Laurent Aiello Laurent Aiello
9	Int. ADAC-Preis der Tourenwagen von Sachsen-Anhalt	Motorsport Arena Oschersleben	13 September	Sprint Race	Laurent Aiello Laurent Aiello
10	25. ADAC Bilstein Supersprint	Nürburgring	4 October	Sprint Race	Manuel Reuter Eric Hélary
