Position	Club	Games played	Wins	Draws	Loses	Goals scored	Goals conceded	Points
1	Kauno Jėgeriai	34	23	7	4	75	28	76
2	Alytis Alytus	34	22	7	5	69	23	73
3	Atlantas-2 Klaipėda	34	19	8	7	70	35	65
4	Kruoja Pakruojis	34	17	9	8	71	36	60
5	Rodiklis Kaunas	34	17	7	10	70	44	58
6	Vėtra-2 Vilnius	34	15	7	12	64	40	52
7	Interas Visaginas	34	15	7	12	59	47	52
8	LKKA ir Teledema Kaunas	34	15	7	12	50	53	52
9	Žalgiris-2 Vilnius	34	13	7	14	42	42	46
10	FC Vilnius-2	34	10	12	12	51	51	42
11	Sūduva-2 Marijampolė	34	12	5	17	44	65	41
12	Banga Gargždai	34	9	12	13	44	49	39
13	KFK Šiauliai-2	34	11	6	17	51	69	39
14	Vilkmergė Ukmergė	34	10	8	16	40	51	38
15	Lietava Jonava	34	9	11	14	43	56	38
16	Atletas Kaunas	34	8	10	16	39	47	34
17	Geležinis Vilkas Vilnius	34	7	10	17	37	55	31
