Place	Player	Nation	Score	To par	Money ( $ )
1	Jeong Jang	South Korea	68-66-69-69=272	−16	280,028
2	Sophie Gustafson	Sweden	69-73-67-67=276	−12	175,130
T3	Young Kim	South Korea	74-68-67-69=278	−10	122,591
T3	Michelle Wie (a)	United States	75-67-67-69=278	−10	0
T5	Cristie Kerr	United States	73-66-69-71=279	−9	81,144
T5	Liselotte Neumann	Sweden	71-70-68-70=279	−9	81,144
T5	Annika Sörenstam	Sweden	73-69-66-71=279	−9	81,144
T8	Natalie Gulbis	United States	76-70-68-66=280	−8	58,669
T8	Grace Park	South Korea	77-68-67-68=280	−8	58,669
T8	Louise Stahle (a)	Sweden	73-65-73-69=280	−8	0
