Name	Took office	Left office	Party	Governor
Christopher Harrison	November 7, 1816	December 17, 1818	Democratic-Republican	Jonathan Jennings
Ratliff Boon	December 8, 1819	September 12, 1822	Democratic-Republican	Jonathan Jennings
Ratliff Boon	December 4, 1822	January 30, 1824	Democratic-Republican	William Hendricks
John H. Thompson	December 7, 1822	December 3, 1828	Democratic-Republican	William Hendricks
Milton Stapp	December 3, 1828	December 7, 1831	Independent	James B. Ray
David Wallace	December 7, 1831	December 6, 1837	Whig	Noah Noble
David Hillis	December 6, 1837	December 9, 1840	Whig	David Wallace
Samuel Hall	December 9, 1840	December 6, 1843	Whig	Samuel Bigger
Jesse D. Bright	December 6, 1843	December 6, 1845	Democrat	James Whitcomb
Paris C. Dunning	December 9, 1846	December 26, 1848	Democrat	James Whitcomb
James H. Lane	December 5, 1849	January 10, 1853	Democrat	Joseph A. Wright
Ashbel P. Willard	January 10, 1853	January 12, 1857	Democrat	Joseph A. Wright
Abram A. Hammond	January 12, 1857	October 3, 1860	Democrat	Ashbel P. Willard
Oliver P. Morton	January 14, 1861	January 16, 1861	Republican	Henry S. Lane
John R. Cravens	January 16, 1861	October 9, 1863	Republican	Oliver P. Morton
Paris C. Dunning	October 9, 1863	January 16, 1865	Democrat	Oliver P. Morton
Conrad Baker	January 9, 1865	January 23, 1867	Republican	Oliver P. Morton
Will Cumback	January 11, 1869	January 13, 1873	Republican	Conrad Baker
Leonidas Sexton	January 13, 1873	January 13, 1877	Republican	Thomas Hendricks
Isaac P. Gray	January 13, 1877	November 2, 1880	Democrat	James D. Williams
Fredrick Vieche	November 20, 1880	January 8, 1881	Democrat	Isaac P. Gray
Thomas Hanna	January 10, 1881	November 12, 1885	Republican	Albert G. Porter
Mahlon D. Manson	January 12, 1885	August 3, 1886	Democrat	Isaac P. Gray
Robert S. Robertson	January 10, 1887	January 13, 1889	Republican	Isaac P. Gray
Alonzo G. Smith	November 8, 1886	January 14, 1889	Democrat	Isaac P. Gray
Ira J. Chase	January 14, 1889	November 24, 1891	Republican	Alvin P. Hovey
Francis M. Griffin	November 23, 1891	January 9, 1893	Republican	Ira J. Chase
Mortimer Nye	January 9, 1893	January 11, 1897	Democrat	Claude Matthews
William S. Haggard	January 11, 1897	January 14, 1901	Republican	James A. Mount
Newton W. Gilbert	January 14, 1901	January 9, 1905	Republican	Winfield T. Durbin
Hugh Thomas Miller	January 9, 1905	January 11, 1909	Republican	J. Frank Hanly
Frank J. Hall	January 11, 1909	January 13, 1913	Democrat	Thomas R. Marshall
William P. O'Neill	January 13, 1913	January 8, 1917	Democrat	Samuel M. Ralston
Edgar D. Bush	January 8, 1917	January 10, 1921	Republican	James P. Goodrich
Emmett Forrest Branch	January 10, 1921	April 30, 1924	Republican	Warren T. McCray
James J. Nejdl	April 30, 1924	January 12, 1925	Republican	Warren T. McCray
F. Harold Van Orman	January 12, 1925	January 14, 1929	Republican	Ed Jackson
Edgar D. Bush	January 14, 1929	January 9, 1933	Republican	Harry G. Leslie
M. Clifford Townsend	January 9, 1933	January 11, 1937	Democrat	Paul V. McNutt
Henry F. Schricker	January 11, 1937	January 13, 1941	Democrat	M. Clifford Townsend
Charles M. Dawson	January 13, 1941	January 8, 1945	Democrat	Henry F. Schricker
Richard T. James	January 8, 1945	January 10, 1948	Republican	Ralph F. Gates
Rue J. Alexander	April 14, 1948	January 2, 1949	Republican	Henry F. Schricker
John A. Watkins	January 10, 1949	January 12, 1953	Democrat	Henry F. Schricker
Harold W. Handley	January 12, 1953	January 14, 1957	Republican	George N. Craig
Crawford F. Parker	January 14, 1957	January 9, 1961	Republican	Harold W. Handley
Richard O. Ristine	January 9, 1961	January 11, 1965	Republican	Matthew E. Welsh
Robert L. Rock	January 11, 1965	January 13, 1969	Democrat	Roger D. Branigin
Richard E. Folz	January 13, 1969	January 8, 1973	Republican	Edgar D. Whitcomb
Robert D. Orr	January 8, 1973	January 12, 1981	Republican	Otis R. Bowen
John Mutz	January 12, 1981	January 9, 1989	Republican	Robert D. Orr
Frank O'Bannon	January 9, 1989	January 13, 1997	Democrat	Evan Bayh
Joseph E. Kernan	January 13, 1997	September 13, 2003	Democrat	Frank O'Bannon
Katherine "Kathy" Davis	October 20, 2003	January 10, 2005	Democrat	Joseph E. Kernan
Becky Skillman	January 10, 2005	January 14, 2013	Republican	Mitch Daniels
Sue Ellspermann	January 14, 2013	Incumbent	Republican	Mike Pence
