Rank	Name	City	Region	Height (m)	Height (ft)	Floors	Estimated Completion
1	Leadenhall Building	London	Greater London	225	737	48	2014
2	52-54 Lime Street	London	Greater London	190	623	38	2017
3	100 Bishopsgate	London	Greater London	172	564	40	2015
4	1 Blackfriars	London	Greater London	163	535	52	2018
5	20 Fenchurch Street	London	Greater London	160	525	36	2014
6	Baltimore Tower	London	Greater London	150	495	45	2016
7	Providence Tower	London	Greater London	136	446	44	2015
8	One The Elephant	London	Greater London	133	436	37	2016
9	25 Churchill Place	London	Greater London	130	427	23	2014
10	Lots Road Tower 1	London	Greater London	122	400	37	2015
11	Lexicon Tower	London	Greater London	115	377	35	2016
