Rider	Manufacturer	Laps	Time/Retired	Grid
Alex Barros	Honda	30	47:22.404	2
Valentino Rossi	Honda	30	+0.230	6
Max Biaggi	Yamaha	30	+15.213	1
Daijiro Kato	Honda	30	+22.504	3
Tohru Ukawa	Honda	30	+35.165	7
Shinya Nakano	Yamaha	30	+50.169	9
Jurgen vd Goorbergh	Honda	30	+1:03.814	15
Jeremy McWilliams	Proton KR	30	+1:05.079	8
Olivier Jacque	Yamaha	30	+1:08.312	11
Norifumi Abe	Yamaha	30	+1:08.312	20
John Hopkins	Yamaha	30	+1:26.241	17
Andrew Pitt	Kawasaki	30	+1:27.427	18
Sete Gibernau	Suzuki	29	+1 lap	10
Tetsuya Harada	Honda	29	+1 lap	22
Kenny Roberts, Jr.	Suzuki	24	Retirement	14
Loris Capirossi	Honda	19	Accident	12
David García	Proton KR	13	Retirement	19
Garry McCoy	Yamaha	6	Accident	4
Nobuatsu Aoki	Proton KR	1	Accident	16
Régis Laconi	Aprilia	1	Retirement	13
José Luis Cardoso	Yamaha	0	Accident	21
Carlos Checa	Yamaha	0	Accident	5
