Pick #	Round	Player	Position	College
41	Round 2	Kenneth Davis	Running Back	Texas Christian
72	Round 3	Robbie Bosco	Quarterback	Brigham Young
84	Round 4	Tim Harris	Defensive End	Memphis State
98	Round 4	Dan Knight	Tackle	San Diego State
125	Round 5	Matt Koart	Defensive Tackle	USC
145	Round 6	Burnell Dent	Linebacker	Tulane
183	Round 7	Ed Berry	Defensive Back	Utah State
210	Round 8	Micheal Cline	Defensive Tackle	Arkansas State
236	Round 9	Brent Moore	Defensive Tackle	USC
263	Round 10	Gary Spann	Linebacker	Texas Christian
