Club	Location	Stadium	Capacity	Manager	Captain
FC Honka	Espoo	Tapiolan Urheilupuisto	6000	Mika Lehkosuo	Tomi Maanoja
FC Inter	Turku	Veritas Stadion	10000	Job Dragtsma	Henri Lehtonen
FF Jaro	Jakobstad	Jakobstads Centralplan	5000	/ Alexei Eremenko Sr.	Heikki Aho
Haka	Valkeakoski	Tehtaan kenttä	3516	Sami Ristilä	Regillio Nooitmeer
HJK	Helsinki	Sonera Stadium	10770	Antti Muurinen	Ville Wallén
JJK	Jyväskylä	Harjun stadion	3000	Kari Martonen	Mikko Hyyrynen
KuPS	Kuopio	Kuopion keskuskenttä	5000	Esa Pekonen	Pietari Holopainen
IFK Mariehamn	Mariehamn	Wiklöf Holding Arena	4000	Pekka Lyyski	Allan Olesen
MYPA	Kouvola	Saviniemi	4167	Toni Korkeakunnas	Tuomas Aho
RoPS	Rovaniemi	Rovaniemen keskuskenttä	4000	Matti Hiukka	Tuomo Könönen
TPS	Turku	Veritas Stadion	10000	Marko Rajamäki	Jarno Heinikangas
