Season	Driver	Owner	Number	Make	Starts	Wins	Top Tens	Poles	Points (margin)
1982	Jack Ingram	Self-owned	11	Pontiac	29 (of 29)	7	24	1	4495 (47)
1983	Sam Ard	Howard Thomas	00	Oldsmobile	35 (of 35)	10	30	10	5454 (84)
1984	Sam Ard	Howard Thomas	00	Oldsmobile	28 (of 29)	8	26	7	4552 (426)
1985	Jack Ingram	Self-owned	11	Pontiac	27 (of 27)	5	22	2	4106 (29)
1986	Larry Pearson	David Pearson	21	Pontiac	31 (of 31)	1	24	1	4514 (7)
1987	Larry Pearson	David Pearson	21	Chevrolet	27 (of 27)	6	20	3	3959 (394)
1988	Tommy Ellis	John Jackson	99	Buick	30 (of 30)	3	20	5	4281 (295)
1989	Rob Moroso	Dick Moroso	25	Oldsmobile	29 (of 29)	4	16	7	4001 (55)
1990	Chuck Bown	Hubert Hensley	63	Pontiac	31 (of 31)	6	18	4	4372 (200)
1991	Bobby Labonte	Self-owned	44	Oldsmobile	31 (of 31)	2	21	2	4264 (74)
1992	Joe Nemechek	Self-owned	87	Chevrolet	31 (of 31)	2	18	1	4275 (3)
1993	Steve Grissom	Wayne Grissom	31	Chevrolet	28 (of 28)	2	18	0	3846 (253)
1994	David Green	Bobby Labonte	44	Chevrolet	28 (of 28)	1	14	9	3725 (46)
1995	Johnny Benson, Jr.	Bill Baumgardner	74	Chevrolet	26 (of 26)	2	19	0	3688 (404)
1996	Randy LaJoie	Bill Baumgardner	74	Chevrolet	26 (of 26)	5	20	2	3714 (29)
1997	Randy LaJoie	Bill Baumgardner	74	Chevrolet	30 (of 30)	5	21	2	4381 (266)
1998	Dale Earnhardt, Jr.	Dale Earnhardt	3	Chevrolet	31 (of 31)	7	22	3	4469 (48)
1999	Dale Earnhardt, Jr.	Dale Earnhardt	3	Chevrolet	32 (of 32)	6	22	3	4647 (280)
2000	Jeff Green	Greg Pollex	10	Chevrolet	32 (of 32)	6	27	7	5005 (616)
2001	Kevin Harvick	Richard Childress	2	Chevrolet	33 (of 33)	5	24	4	4813 (124)
2002	Greg Biffle	Jack Roush	60	Ford	34 (of 34)	4	25	5	4924 (280)
2003	Brian Vickers	Ricky Hendrick	5	Chevrolet	34 (of 34)	3	21	1	4637 (14)
2004	Martin Truex Jr.	Dale Earnhardt, Jr.	8	Chevrolet	34 (of 34)	6	26	7	5173 (230)
2005	Martin Truex Jr.	Dale Earnhardt, Jr.	8	Chevrolet	35 (of 35)	6	22	3	4937 (68)
2006	Kevin Harvick	Richard Childress Kevin Harvick	21, 33	Chevrolet	35 (of 35)	9	32	1	5648 (824)
2007	Carl Edwards	Jack Roush	60	Ford	35 (of 35)	4	21	0	4805 (618)
2008	Clint Bowyer	Richard Childress	2	Chevrolet	35 (of 35)	1	29	0	5132 (21)
2009	Kyle Busch	Joe Gibbs	18	Toyota	35 (of 35)	9	30	3	5682 (210)
2010	Brad Keselowski	Roger Penske	22	Dodge	35 (of 35)	6	29	5	5639 (445)
2011	Ricky Stenhouse, Jr.	Jack Roush	6	Ford	34 (of 34)	2	26	3	1,222 (45)
