Issue	Date	Title	Penciller	Color
#0	June 25, 2008	Cimmeria	Tomás Giorello	José Villarrubia
#1	July 16, 2008	Hunter's Moon	Tomás Giorello Richard Corben	José Villarrubia
#2	August 13, 2008	Mark of the Wolf	Tomás Giorello Richard Corben	José Villarrubia
#3	September 17, 2008	Path of Mist	Tomás Giorello Richard Corben	José Villarrubia
#4	October 15, 2008	The Skrae	Tomás Giorello Richard Corben	José Villarrubia
#5	November 19, 2008	The Wolf's Promise	Tomás Giorello Richard Corben	José Villarrubia
#6	December 17, 2008	Homecoming	Tomás Giorello Richard Corben	José Villarrubia
#7	January 21, 2009	Darkness and the Night	Tomás Giorello Richard Corben	José Villarrubia
#8	February 25, 2009	The Scorpion	Tomás Giorello	José Villarrubia
#9	March 25, 2009	The Mercenary	Tomás Giorello	José Villarrubia
#10	April 29, 2009	The Commander	Tomás Giorello	José Villarrubia
#11	June 3, 2009	The Face on the Coin	Tomás Giorello	José Villarrubia
#12	July 22, 2009	The Battle of Shamla Pass	Tomás Giorello	José Villarrubia
#13	August 19, 2009	Black Altar	Tomás Giorello	José Villarrubia
#14	September 23, 2009	Home For the Hunt	Joe Kubert Timothy Truman	José Villarrubia
#15	November 4, 2009	The Sorrow of Akivasha	Paul Lee	Paul Lee
#16	November 18, 2009	Free Companions	Tomás Giorello	José Villarrubia
#17	January 6, 2010	Free Companions	Tomás Giorello	José Villarrubia
#18	February 3, 2010	Free Companions	Tomás Giorello	José Villarrubia
#19	March 3, 2010	Kozaki	Tomás Giorello	José Villarrubia
#20	April 28, 2010	Kozaki	Tomás Giorello	José Villarrubia
#21	June 2, 2010	Kozaki	Tomás Giorello	José Villarrubia
#22	July 7, 2010	Iron Shadows in the Moon	Tomás Giorello Paul Lee	José Villarrubia
#23	August 25, 2010	Iron Shadows in the Moon	Tomás Giorello	José Villarrubia
#24	October 20, 2010	Iron Shadows in the Moon	Tomás Giorello	José Villarrubia
#25	November 24, 2010	Iron Shadows in the Moon	Tomás Giorello	José Villarrubia
