Rank	Heat	Lane	Name	Nationality	Time
1	7	4	Leisel Jones	Australia	1:05.64
2	7	3	Yuliya Yefimova	Russia	1:06.08
3	5	6	Mirna Jukić	Austria	1:07.06
4	5	4	Rebecca Soni	United States	1:07.44
5	7	1	Suzaan van Biljon	South Africa	1:07.55
6	6	1	Sun Ye	China	1:07.81
7	6	4	Tarnee White	Australia	1:07.83
8	7	6	Joline Höstman	Sweden	1:07.91
9	7	5	Megan Jendrick	United States	1:08.07
10	5	7	Jillian Tyler	Canada	1:08.13
11	6	3	Kate Haywood	Great Britain	1:08.18
12	5	2	Chen Huijia	China	1:08.24
13	5	3	Annamay Pierse	Canada	1:08.25
14	6	2	Kirsty Balfour	Great Britain	1:08.30
15	5	1	Asami Kitagawa	Japan	1:08.36
16	7	8	Elise Matthysen	Belgium	1:08.37
17	6	6	Megumi Taneda	Japan	1:08.45
18	7	2	Yelena Bogomazova	Russia	1:08.63
19	3	2	Sara El Bekri	Morocco	1:08.66
20	6	5	Sarah Poewe	Germany	1:08.69
21	6	7	Hanna Westrin	Sweden	1:08.80
22	4	4	Roberta Panara	Italy	1:08.90
23	4	5	Jung Seul-Ki	South Korea	1:09.26
24	6	8	Yuliya Pidlisna	Ukraine	1:09.72
25	5	5	Anna Khlistunova	Ukraine	1:09.95
26	4	2	Diana Gomes	Portugal	1:10.02
27	4	3	Inna Kapishina	Belarus	1:10.15
28	4	1	Dilara Buse Günaydin	Turkey	1:10.45
29	5	8	Sophie de Ronchi	France	1:10.46
30	4	6	Angeliki Exarchou	Greece	1:10.47
31	3	6	Adriana Marmolejo	Mexico	1:10.73
32	4	7	Nicolette Teo	Singapore	1:10.76
33	3	3	Smiljana Marinović	Croatia	1:10.94
34	2	4	Yekaterina Sadovnik	Kazakhstan	1:11.14
35	4	8	Jolijn van Valkengoed	Netherlands	1:11.26
36	7	7	Sonja Schöber	Germany	1:11.36
37	3	4	Liliana Guiscardo	Argentina	1:11.43
38	2	5	Valeria Silva	Peru	1:11.64
39	3	8	Tatiane Sakemi	Brazil	1:11.75
40	3	5	Erla Dogg Haraldsdóttir	Iceland	1:11.78
41	3	1	Réka Pecz	Hungary	1:12.17
42	2	6	Danielle Beaubrun	Saint Lucia	1:12.85
43	3	7	Nađa Higl	Serbia	1:13.19
44	2	3	Mayumi Raheem	Sri Lanka	1:15.33
45	2	2	Nibal Yamout	Lebanon	1:16.17
46	2	7	Oksana Hatamkhanova	Azerbaijan	1:20.22
47	1	5	Asmahan Farhat	Libya	1:21.68
48	1	4	Anna Salnikova	Georgia	1:21.70
49	1	3	Mariam Pauline Keita	Mali	1:24.26
