Portfolio	Minister	Took office	Left office	Party
Minister European Affairs	Rocco Buttiglione	11 June 2001	23 April 2005	UDC
Minister of Reforms and Devolutions	Umberto Bossi	11 June 2001	16 July 2004	Lega Nord
Minister of Reforms and Devolutions	Roberto Calderoli	16 July 2004	23 April 2005	Lega Nord
Minister of Innovations	Lucio Stanca	11 June 2001	23 April 2005	Forza Italia
Minister for Regional Affairs	Enrico La Loggia	11 June 2001	23 April 2005	Forza Italia
Minister for Platform Accomplishment	Claudio Scajola	28 August 2003	23 April 2005	Forza Italia
Minister of Equal Opportunities	Stefania Prestigiacomo	11 June 2001	23 April 2005	Forza Italia
Minister of Pubblic Administration	Franco Frattini	11 June 2001	14 November 2002	Forza Italia
Minister of Pubblic Administration	Luigi Mazzella	14 November 2002	3 December 2004	Independent
Minister of Pubblic Administration	Mario Baccini	3 December 2004	23 April 2005	UDC
Minister of Italians in the World	Mirko Tremaglia	11 June 2001	23 April 2005	AN
