Year	English title	Danish title	Director	Result
1956	Qivitoq	Qivitoq	Erik Balling	Nominee
1957	Be Dear to Me	Ingen tid til kærtegn	Annelise Hovmand	Not Nominated
1958	The Girls Are Willing	Guld og grønne skove	Gabriel Axel	Not Nominated
1959	Paw	Paw	Astrid Henning-Jensen	Nominee
1961	Harry and the Butler	Harry og Kammertjeneren	Bent Christensen	Nominee
1964	Sextet	Sekstet	Annelise Hovmand	Not Nominated
1965	Gertrud	Gertrud	Carl Theodor Dreyer	Not Nominated
1966	Hunger	Sult	Henning Carlsen	Not Nominated
1967	Once There Was a War	Der var engang en krig	Palle Kjærulff-Schmidt	Not Nominated
1968	People Meet and Sweet Music Fills the Heart	Människor möts och ljuv musik uppstår i hjärtat	Henning Carlsen	Not Nominated
1969	Ballad of Carl-Henning	Balladen om Carl-Henning	Lene Grønlykke / Sven Grønlykke	Not Nominated
1970	Re: Lone	Ang. Lone	Franz Ernst	Not Nominated
1971	The Missing Clerk	Den forsvundne fuldmægtig	Gert Fredholm	Not Nominated
1972	Oh, to Be on the Bandwagon!	Man sku' være noget ved musikken	Henning Carlsen	Not Nominated
1974	The Olsen Gang's Last Escapade	Olsen-bandens sidste bedrifter	Erik Balling	Not Nominated
1975	Per	Per	Hans Kristensen	Not Nominated
1976	The Olsen Gang Sees Red	Olsen-banden ser rødt	Erik Balling	Not Nominated
1977	Boys	Drenge	Nils Malmros	Not Nominated
1978	Me and Charly	Mig og Charly	Morten Arnfred / Henning Kristiansen	Not Nominated
1979	Johnny Larsen	Johnny Larsen	Morten Arnfred	Not Nominated
1982	Tree of Knowledge	Kundskabens Træ	Nils Malmros	Not Nominated
1983	Zappa	Zappa	Bille August	Not Nominated
1984	Tukuma	Tukuma	Palle Kjærulff-Schmidt	Not Nominated
1985	Twist and Shout	Tro, håb og kærlighed	Bille August	Not Nominated
1986	The Dark Side of the Moon	Manden i Månen	Erik Clausen	Not Nominated
1987	Babette's Feast	Babettes Gæstebud	Gabriel Axel	Won Academy Award
1988	Pelle the Conqueror a[› ]	Pelle Erobreren	Bille August	Won Academy Award
1989	Memories of a Marriage	Dansen med Regitze	Kaspar Rostrup	Nominee
1990	Dance of the Polar Bears	Lad isbjørnene danse	Birger Larsen	Not Nominated
1991	The Great Day on the Beach	Den Store Badedag	Stellan Olsen	Not Nominated
1992	Sofie	Sofie	Liv Ullmann	Not Nominated
1993	Black Harvest	Sort Høst	Anders Refn	Not Nominated
1994	Carl, my Childhood Symphony	Min fynske barndom	Erik Clausen	Not Nominated
1996	Hamsun	Hamsun	Jan Troell	Not Nominated
1997	Barbara	Barbara	Nils Malmros	Not Nominated
1998	The Celebration	Festen	Thomas Vinterberg	Not Nominated
1999	Mifune's Last Song	Mifunes sidste sang	Søren Kragh-Jacobsen	Not Nominated
2000	A Place Nearby	Her i Nærheden	Kaspar Rostrup	Not Nominated
2001	Italian for Beginners	Italiensk for begyndere	Lone Scherfig	Not Nominated
2002	Open Hearts	Elsker dig for evigt	Susanne Bier	Not Nominated
2003	Reconstruction	Reconstruction	Christoffer Boe	Not Nominated
2004	The Five Obstructions	De Fem Benspænd	Lars von Trier / Jørgen Leth	Not Nominated
2005	Adam's Apples	Adams Æbler	Anders Thomas Jensen	Not Nominated
2006	After the Wedding	Efter Brylluppet	Susanne Bier	Nominee
2007	The Art of Crying	Kunsten at græde i Kor	Peter Schønau Fog	Not Nominated
2008	Worlds Apart	To verdener	Niels Arden Oplev	Not Nominated
2009	Terribly Happy	Frygtelig lykkelig	Henrik Ruben Genz	Not Nominated
2010	In a Better World	Hævnen	Susanne Bier	Won Academy Award
2011	SuperClásico	SuperClásico	Ole Christian Madsen	Made January Shortlist
2012	A Royal Affair	En kongelig affære	Nikolaj Arcel	Nominee
2013	The Hunt	Jagten	Thomas Vinterberg	TBD
