Place	Player	Country	Score	To par	Money ( $ )
1	Davis Love III	United States	66-71-66-66=269	–11	470,000
2	Justin Leonard	United States	68-70-65-71=274	–6	280,000
3	Jeff Maggert	United States	69-69-73-65=276	–4	175,000
4	Lee Janzen	United States	69-67-74-69=279	–1	125,000
5	Tom Kite	United States	68-71-71-70=280	E	105,000
T6	Phil Blackmar	United States	70-68-74-69=281	+1	85,000
T6	Jim Furyk	United States	69-72-72-68=281	+1	85,000
T6	Scott Hoch	United States	71-72-68-70=281	+1	85,000
9	Tom Byrum	United States	69-73-70-70=282	+2	70,000
T10	Tom Lehman	United States	69-72-72-70=283	+3	60,000
T10	Scott McCarron	United States	74-71-67-71=283	+3	60,000
T10	Joey Sindelar	United States	72-71-71-69=283	+3	60,000
