Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	14-5	Guilherme Faria de Souza	Submission (kimura)	Premium Fight Championship 2	4	2:05	Campinas , Sao Paulo, Brazil
Loss	13-5	Ross Pearson	Decision (unanimous)	UFC 141	3	5:00	Las Vegas, Nevada , United States
Win	13-4	Eddie Yagin	Decision (unanimous)	UFC 135	3	5:00	Denver, Colorado , United States
Win	12-4	Wesley Murch	Submission (rear naked choke)	Recife FC 4	1	5:00	Recife , Brazil
Win	11-4	Mark Miller	KO (punch)	Recife FC 3	1	4:03	Recife , Brazil
Win	10-4	John Mahlow	Submission (guillotine choke)	XFC 10: Night of Champions	1	4:02	Florida , United States
Win	9-4	Pete Grimes	Decision (split)	ShineFights 2	3	5:00	Florida , United States
Win	8-4	Kamrin Naville	Decision (unanimous)	KOTC - Invincible	3	3:00	Georgia , United States
Win	7-4	Kalvin Hackney	Decision (unanimous)	Wild Bill's Full Throttle	3	5:00	Georgia , United States
Loss	6-4	Torrance Taylor	Decision (unanimous)	AFL - Bulletproof	3	5:00	Georgia , United States
Win	6-3	Steve Sharp	Submission (guillotine choke)	AFL: Erupption	3	4:26	Kentucky , United States
Loss	5-3	Nate Diaz	Submission (guillotine choke)	UFC Fight Night 11	1	4:10	Nevada , United States
Win	5-2	David Lee	Submission (rear naked choke)	UFC 70	2	1:55	Manchester , England
Loss	4-2	Kurt Pellegrino	Submission (rear naked choke)	UFC 64	1	2:04	Nevada , United States
Win	4-1	Scott Hope	TKO (punches)	ISCF - Knuckle Up 4	1	1:43	Georgia , United States
Win	3-1	Dustin Hazelett	TKO (punches)	FT 3 - Full Throttle 3	1	4:27	Georgia , United States
Win	2-1	Danny Payne	Submission (rear naked choke)	FT 2 - Full Throttle 2	1	0:50	Georgia , United States
Win	1-1	Will Bradford	Submission (guillotine choke)	ISCF - Compound Fracture 2	1	1:55	Georgia , United States
Loss	0-1	Andrew Chappelle	Decision (unanimous)	ISCF - Fight Party	3	3:00	Georgia , United States
