Rank	Heat	Lane	Name	Nationality	Time
1	4	4	Michael Phelps	United States	4:07.82
2	2	4	László Cseh	Hungary	4:09.26
3	4	5	Luca Marin	Italy	4:10.22
4	3	4	Ryan Lochte	United States	4:10.33
5	4	3	Gergő Kis	Hungary	4:10.66
6	2	3	Alessio Boggiatto	Italy	4:10.68
7	3	7	Brian Johns	Canada	4:11.41
8	3	5	Thiago Pereira	Brazil	4:11.74
9	4	2	Keith Beavers	Canada	4:12.75
10	2	1	Bradley Ally	Barbados	4:14.01
11	2	8	Gal Nevo	Israel	4:14.03
12	3	3	Riaan Schoeman	South Africa	4:14.09
13	3	1	Andrey Krylov	Russia	4:14.55
14	4	6	Travis Nederpelt	Australia	4:15.37
15	2	2	Dinko Jukić	Austria	4:15.48
16	2	7	Alexander Tikhonov	Russia	4:16.49
17	2	5	Thomas Haffield	Great Britain	4:16.76
18	2	6	Vasileios Demetis	Greece	4:18.40
19	3	6	Euan Dale	Great Britain	4:18.60
20	4	8	Vadym Lepskyy	Ukraine	4:20.96
21	3	8	Omar Pinzón	Colombia	4:22.31
22	4	7	Pierre Henri	France	4:22.41
23	1	4	Nikša Roki	Croatia	4:22.44
24	3	2	Javier Núñez	Spain	4:22.69
25	4	1	Romanos Alyfantis	Greece	4:23.41
26	1	6	Dmitriy Gordiyenko	Kazakhstan	4:25.20
27	1	2	Vasilii Danilov	Kyrgyzstan	4:29.20
28	1	3	Deniz Nazar	Turkey	4:30.80
29	1	5	Hocine Haciane	Andorra	4:32.00
