Block A	Gran Hamada	Koji Kanemoto	Jushin Liger	Masaaki Mochizuki	Super Shocker	Tatsuhito Takaiwa
Gran Hamada	X	Kanemoto (15:46)	Hamada (10:08)	Hamada (10:47)	Hamada (10:17)	Takaiwa (12:32)
Koji Kanemoto	Kanemoto (15:46)	X	Liger (20:29)	Kanemoto (9:40)	Kanemoto (10:19)	Kanemoto (13:29)
Jushin Liger	Hamada (10:08)	Liger (20:29)	X	Liger (11:13)	Liger (13:59)	Takaiwa (17:47)
Masaaki Mochizuki	Hamada (10:47)	Kanemoto (9:40)	Liger (11:13)	X	Mochizuki (10:44)	Mochizuki (13:11)
Super Shocker	Hamada (10:17)	Kanemoto (10:19)	Liger (13:59)	Mochizuki (10:44)	X	Shocker (13:50)
Tatsuhito Takaiwa	Takaiwa (12:32)	Kanemoto (13:29)	Takaiwa (17:47)	Mochizuki (13:11)	Shocker (13:50)	X
Block B	Kendo Kashin	Masao Orihara	Shinjiro Otani	El Samurai	Minoru Tanaka	Dr. Wagner, Jr.
Kendo Kashin	X	Kashin (7:06)	Otani (9:34)	Kashin (10:00)	Kashin (10:21)	Kashin (8:58)
Masao Orihara	Kashin (7:06)	X	Otani (9:37)	Samurai (12:52)	Orihara (10:52)	Wagner (10:08)
Shinjiro Otani	Otani (9:34)	Otani (9:37)	X	Draw (30:00)	Tanaka (13:57)	Otani (11:19)
El Samurai	Kashin (10:00)	Samurai (12:52)	Draw (30:00)	X	Tanaka (10:32)	Samurai (11:42)
Minoru Tanaka	Kashin (10:21)	Orihara (10:52)	Tanaka (13:57)	Tanaka (10:32)	X	Wagner (10:09)
Dr. Wagner, Jr.	Kashin (8:58)	Wagner (10:08)	Otani (11:19)	Samurai (11:42)	Wagner (10:09)	X
