Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Benetton - Renault	45	1:22:56.043	2
David Coulthard	Williams - Renault	45	+5.988	3
Gerhard Berger	Ferrari	45	+1:08.097	4
Johnny Herbert	Benetton - Renault	45	+1:23.436	9
Jean-Christophe Boullion	Sauber - Ford	44	+1 lap	14
Aguri Suzuki	Ligier - Mugen-Honda	44	+1 lap	18
Ukyo Katayama	Tyrrell - Yamaha	44	+1 lap	17
Andrea Montermini	Pacific - Ford	42	+3 laps	23
Eddie Irvine	Jordan - Peugeot	41	Throttle	6
Mika Häkkinen	McLaren - Mercedes	33	Engine	7
Heinz-Harald Frentzen	Sauber - Ford	32	Engine	11
Luca Badoer	Minardi - Ford	28	Oil Leak	16
Giovanni Lavaggi	Pacific - Ford	27	Gearbox	24
Roberto Moreno	Forti - Ford	27	Halfshaft	22
Rubens Barrichello	Jordan - Peugeot	20	Engine	5
Mark Blundell	McLaren - Mercedes	17	Engine	8
Olivier Panis	Ligier - Mugen-Honda	13	Water Leak	12
Jean Alesi	Ferrari	12	Engine	10
Pierluigi Martini	Minardi - Ford	11	Engine	20
Taki Inoue	Footwork - Hart	9	Gearbox	19
Pedro Diniz	Forti - Ford	8	Brakes	21
Damon Hill	Williams - Renault	1	Halfshaft/Spun Off	1
Mika Salo	Tyrrell - Yamaha	0	Clutch	13
Massimiliano Papis	Footwork - Hart	0	Gearbox	15
