Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Aug 4, 1996	Buick Open	–22 (65-64-69-68=266)	5 strokes	Chip Beck
Jun 8, 1997	Kemper Open	–10 (69-69-69-67=274)	1 stroke	Mark Wiebe
Jul 20, 1997	The Open Championship	–12 (69-66-72-65=272)	3 strokes	Darren Clarke , Jesper Parnevik
Mar 29, 1998	The Players Championship	–10 (72-69-70-67=278)	2 strokes	Glen Day , Tom Lehman
Sep 24, 2000	Westin Texas Open at LaCantera	–19 (64-68-65-64=261)	5 strokes	Mark Wiebe
Sep 30, 2001	Texas Open at LaCantera	–14 (65-64-68-69=266)	2 strokes	J. J. Henry , Matt Kuchar
Apr 21, 2002	WorldCom Classic - The Heritage of Golf	–14 (67-64-66-73=270)	1 stroke	Heath Slocum
Mar 16, 2003	The Honda Classic	–24 (63-70-64-67=264)	1 stroke	Chad Campbell , Davis Love III
Jan 30, 2005	Bob Hope Chrysler Classic	–28 (66-67-68-64-67=332)	3 strokes	Tim Clark , Joe Ogilvie
May 29, 2005	FedEx St. Jude Classic	–14 (62-65-66-73=266)	1 stroke	David Toms
Oct 7, 2007	Valero Texas Open	–19 (65-67-64-65=261)	Playoff	Jesper Parnevik
Jun 8, 2008	Stanford St. Jude Championship	–4 (68-73-67-68=276)	Playoff	Robert Allenby , Trevor Immelman
