Series Ep.	Episode	Netflix	Segment A	Segment B	Segment C	Segment D
2-01	14	S01E14	Eyeglass Lenses	Granite	Potato Chips	Computer s Microprocessor
2-02	15	S01E15	Honey	Fibre Optics	s Brick	Pipe Organs
2-03	16	S01E16	Personal Watercraft	Wine	Particleboard Office Furniture	Ice Skates
2-04	17	S01E17	Winter s Jacket	Animation	s Mushroom	Gold Rings
2-05	18	S01E18	Hydroponic Lettuce	Construction Wood	Recycling	Fishing Flies
2-06	19	S01E19	Diamond Cutting	Wood s Door	s Paintball	s Newspaper
2-07	20	S01E20	s Carpet	Drinking Water	Laser Eye Surgery	Acoustic Guitars
2-08	21	S01E21	Fiberglass Boats	s Clothes Dryer	Bubble Gum	Fireworks
2-09	22	S01E22	Steel Safes	False Teeth	s Airplane	Maple Syrup
2-10	23	S01E23	Gummies	Aluminum Cans	Fish Farming	Bronze Sculptures
2-11	24	S01E24	Aluminum Pots and Pans	s Artificial Limb	Peanut Butter	High Intensity Light Bulbs
2-12	25	S01E25	s Car	Grocery Carts	Rapid Tooling and Prototyping	s Collectible Coin
2-13	26	S01E26	Ball Bearings	Electrical Wires	Lost Wax Casting	Automated Machines
