Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
60	March 1	@ Bulls	W 116–92 (OT)	J. Crawford (21)	J. Smith (18)	M. Williams (4) J. Smith (4) A. Horford (4)	United Center 19,011	38-21
61	March 3	76ers	W 112–93 (OT)	M. Williams (21)	M. Williams (8) A. Horford (8) J. Smith (8)	J. Johnson (5) J. Smith (5)	Philips Arena 15,408	39-21
62	March 5	Warriors	W 127–122 (OT)	J. Smith (29)	A. Horford (15)	J. Johnson (8)	Philips Arena 14,066	40-21
63	March 6	@ Heat	L 94–100 (OT)	J. Crawford (24)	A. Horford (9)	J. Smith (5)	American Airlines Arena 19,600	40-22
64	March 8	@ Knicks	L 98–99 (OT)	J. Smith (25)	A. Horford (12)	J. Smith (6)	Madison Square Garden 19,763	40-23
50	March 11	@ Wizards	W 105–99 (OT)	J. Crawford (29)	J. Johnson (7)	J. Johnson (5) J. Smith (5) M. Bibby (5)	Verizon Center 13,625	41-23
65	March 13	Pistons	W 112–99 (OT)	J. Crawford (29)	J. Johnson (7)	J. Johnson (5) J. Smith (5) M. Bibby (5)	Philips Arena 18,214	42-23
66	March 16	@ Nets	W 108–84 (OT)	J. Crawford (25)	A. Horford (11)	A. Horford (7)	Izod Center 11,128	43-23
67	March 17	@ Raptors	L 105–106 (OT)	J. Crawford (33)	A. Horford (14)	J. Smith (7)	Air Canada Centre 18,441	43-24
68	March 19	Bobcats	W 93–92 (OT) OT	J. Johnson (18) J. Smith (18)	M. Williams (14)	J. Smith (5)	Philips Arena 17,697	44-24
69	March 21	Spurs	W 119–114 (OT) OT	M. Williams (26)	A. Horford (18)	J. Johnson (13)	Philips Arena 18,729	45-24
70	March 22	@ Bucks	L 95–98 (OT)	J. Johnson (27)	A. Horford (12)	A. Horford (4)	Bradley Center 14,186	45-25
71	March 24	Magic	W 86–84 (OT)	J. Johnson (17)	A. Horford (11)	J. Johnson (8)	Philips Arena 16,887	46-25
72	March 26	@ 76ers	L 98–105 (OT)	J. Johnson (20) J. Smith (20)	A. Horford (10)	J. Johnson (6)	Wachovia Center 13,293	46-26
73	March 28	Pacers	W 94–84 (OT)	J. Smith (21)	J. Smith (13)	M. Bibby (8)	Philips Arena 16,646	47-26
