Week	Date	Opponent	Result	Attendance
1	September 12, 1964	at Dallas Cowboys	W 16-6	36,605
2	September 20, 1964	at Cleveland Browns	T 33-33	76,954
3	September 27, 1964	at San Francisco 49ers	W 23-13	30,969
4	October 4, 1964	at Washington Redskins	W 23-17	49,219
5	October 12, 1964	at Baltimore Colts	L 47-27	60,213
6	October 18, 1964	Washington Redskins	W 38-24	23,748
7	October 25, 1964	Dallas Cowboys	L 31-13	28,253
8	November 1, 1964	at New York Giants	L 34-17	63,072
9	November 8, 1964	Pittsburgh Steelers	W 34-30	28,245
10	November 15, 1964	New York Giants	T 10-10	29,608
11	November 22, 1964	at Philadelphia Eagles	W 38-13	60,671
12	November 29, 1964	at Pittsburgh Steelers	W 21-20	27,807
13	December 6, 1964	Cleveland Browns	W 28-19	31,585
14	December 13, 1964	Philadelphia Eagles	W 36-34	24,636
