Game	Date	Opponent	Score	Location/attendance	Record
49	1	Detroit Red Wings	8-6	Detroit	21-24-4
50	3	Montreal Canadiens	1-5	Montreal	21-25-4
51	4	Chicago Black Hawks	3-5	Chicago	21-26-4
52	7	Minnesota North Stars	2-4	Los Angeles	21-27-4
53	8	Pittsburgh Penguins	3-1	Los Angeles	22-27-4
54	12	Toronto Maple Leafs	2-0	Los Angeles	23-27-4
55	14	St. Louis Blues	2-2	St. Louis	23-27-5
56	16	Philadelphia Flyers	7-1	Los Angeles	24-27-5
57	18	Boston Bruins	5-6	Los Angeles	24-28-5
58	24	Chicago Black Hawks	3-3	Los Angeles	24-28-6
59	25	St. Louis Blues	4-2	Los Angeles	25-28-6
60	29	Philadelphia Flyers	3-1	Philadelphia	26-28-6
