Place	Player	Country	Score	To par	Money ( $ )
1	Rich Beem	United States	72-66-72-68=278	–10	990,000
2	Tiger Woods	United States	71-69-72-67=279	–9	594,000
3	Chris Riley	United States	71-70-72-70=283	–5	374,000
T4	Fred Funk	United States	68-70-73-73=284	–4	235,000
T4	Justin Leonard	United States	72-66-69-77=284	–4	235,000
6	Rocco Mediate	United States	72-73-70-70=285	–3	185,000
7	Mark Calcavecchia	United States	70-68-74-74=286	–2	172,000
8	Vijay Singh	Fiji	71-74-74-68=287	–1	159,000
9	Jim Furyk	United States	68-73-76-71=288	E	149,000
T10	Robert Allenby	Australia	76-66-77-70=289	+1	110,714
T10	Stewart Cink	United States	74-74-72-69=289	+1	110,714
T10	José Cóceres	Argentina	72-71-72-74=289	+1	110,714
T10	Pierre Fulke	Sweden	72-68-78-71=289	+1	110,714
T10	Sergio García	Spain	75-73-73-68=289	+1	110,714
T10	Ricardo González	Argentina	74-73-71-71=289	+1	110,714
T10	Steve Lowery	United States	71-71-73-74=289	+1	110,714
