Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2009	Formula Renault 2.0 NEC	Motopark Academy	16	0	0	1	2	192	7th
2009	Eurocup Formula Renault 2.0	Motopark Academy	6	0	0	0	0	2	27th
2009	GT3 Brasil Championship	CRT Brasil	4	0	0	0	0	29	28th
2010	German Formula Three	Motopark Academy	18	0	0	0	0	20	10th
2010	GT Brasil	WB Motorsport (GT3)	2	0	0	0	0	6	35th
2011	British Formula Three	Double R Racing	30	0	0	0	1	36	15th
2011	FIA Formula 3 International Trophy	Double R Racing	3	0	0	0	0	N/A	NC
2011	Masters of Formula 3	Prema Powerteam	1	0	0	0	0	N/A	NC
2011	Formula 3 Brazil Open	Hitech Racing Brazil	1	0	0	0	0	N/A	NC
2012	British Formula Three	Fortec Motorsport	28	2	0	2	5	146	8th
2012	Formula 3 Euro Series	Fortec Motorsport	3	0	0	0	0	N/A	NC
2012	Masters of Formula 3	Fortec Motorsport	1	0	0	0	0	N/A	11th
2012	Macau Grand Prix Formula Three	Fortec Motorsport	1	0	0	0	0	N/A	6th
2012	Formula 3 Brazil Open	Cesário Fórmula	1	0	0	0	0	N/A	NC
2013	FIA European Formula 3 Championship	s Fortec Motorsport	30	0	0	0	3	143	8th
