Date	Opponent#	Rank #	Site	Result	Attendance
September 28	Southern Methodist	11	Ohio Stadium • Columbus, OH	W35-14	73,855
October 5	Oregon	6	Ohio Stadium • Columbus, OH	W21-6	70,919
October 12	1 Purdue	4	Ohio Stadium • Columbus, OH	W13-0	84,834
October 19	Northwestern	2	Ohio Stadium • Columbus, OH	W45-21	83,454
October 26	at Illinois	2	Memorial Stadium • Champaign, IL	W31-24	56,174
November 2	16 Michigan State	2	Ohio Stadium • Columbus, OH	W25-20	84,859
November 9	at Wisconsin	2	Camp Randall Stadium • Madison, WI	W43-8	40,972
November 16	at Iowa	2	Iowa Stadium • Iowa City, IA	W33-27	44,131
November 23	4 Michigan	2	Ohio Stadium • Columbus, OH	W50-14	85,371
January 1, 1969	vs. 2 USC	1	Rose Bowl • Pasadena, CA ( Rose Bowl )	W27-16	102,063
*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .
