car plates (since 1937)	Voivodeship Separate city	Capital	Area in 1000km² (1930)	Population in 1000 (1931)
car plates (since 1937)	Voivodeship Separate city	Capital	Area in 1000km² (1930)	Population in 1000 (1931)
00-19	City of Warsaw	Warsaw	0,14	1179,5
85-89	warszawskie	Warsaw	31,7	2460,9
20-24	białostockie	Białystok	26,0	1263,3
25-29	kieleckie	Kielce	22,2	2671,0
30-34	krakowskie	Kraków	17,6	2300,1
35-39	lubelskie	Lublin	26,6	2116,2
40-44	lwowskie	Lwów	28,4	3126,3
45-49	łódzkie	Łódź	20,4	2650,1
50-54	nowogródzkie	Nowogródek	23,0	1057,2
55-59	poleskie	Brześć nad Bugiem	36,7	1132,2
60-64	pomorskie	Toruń	25,7	1884,4
65-69	poznańskie	Poznań	28,1	2339,6
70-74	stanisławowskie	Stanisławów	16,9	1480,3
75-79 ?	śląskie (autonomous)	Katowice	5,1	1533,5
80-84	tarnopolskie	Tarnopol	16,5	1600,4
90-94	wileńskie	Wilno	29,0	1276,0
