Round	Pick #	Player	Position	College
1	1	Tom Cousineau	Linebacker	Ohio State
1	5	Jerry Butler	Wide receiver	Clemson
2	32	Fred Smerlas	Nose tackle	Boston College
2	51	Jim Haslett	Linebacker	Indiana (PA)
3	62	Jon Borchardt	Guard	Montana St.
4	83	Ken E. Johnson	Defensive end	Knoxville
4	87	Jeff Nixon	Defensive back	Richmond
5	114	Rod Kush	Defensive back	Nebraska-Omaha
5	116	Dan Manucci	Quarterback	Kansas St.
6	141	Mike Burrow	Guard	Auburn
7	170	Tom Mullady	Tight end	Rhodes
9	226	Kevin Baker	Defensive end	William Penn
10	253	Dave Marler	Quarterback	Mississippi St.
11	279	Paul Lawler	Defensive back	Colgate
12	308	Mike Harris	Running back	Arizona St.
