Date	Round	Opponent	Venue	Result	Attendance
14 September 2004	GS	Paris Saint-Germain	A	3-0	40,000
29 September 2004	GS	Porto	H	3-1	39,237
20 October 2004	GS	CSKA Moscow	H	2-0	33,945
2 November 2004	GS	CSKA Moscow	A	1-0	28,000
24 November 2004	GS	Paris Saint-Germain	H	0-0	39,626
7 December 2004	GS	Porto	A	1-2	42,409
23 February 2005	R2	Barcelona	A	1-2	89,000
8 March 2005	R2	Barcelona	H	4-2	42,409
6 April 2005	QF	Bayern Munich	H	4-2	40,253
12 April 2005	QF	Bayern Munich	A	2-3	59,000
27 April 2005	SF	Liverpool	H	0-0	40,497
3 May 2005	SF	Liverpool	A	0-1	42,529
