Dep.	Chief town	Arrondissement	Population (1999)	Area (Square km)	Pop density	Cantons	Communes
01	Belley	Belley	79,656	1,307	61	9	107
01	Bourg-en-Bresse	Bourg-en-Bresse	295,351	3,105	95	24	219
01	Gex	Gex	59,336	426	139	3	29
01	Nantua	Nantua	80,927	924	88	7	64
02	Château-Thierry	Château-Thierry	68,570	1,193	57	5	123
02	Laon	Laon	162,873	2,461	66	13	278
02	Saint-Quentin	Saint-Quentin	134,597	1,071	126	9	126
02	Soissons	Soissons	100,627	1,243	81	7	159
02	Vervins	Vervins	68,822	1,401	49	8	130
03	Montluçon	Montluçon	117,852	2,328	51	12	106
03	Moulins	Moulins	106,705	2,996	36	12	111
03	Vichy	Vichy	120,164	2,016	60	11	103
04	Barcelonnette	Barcelonnette	7,569	1,028	7	2	16
04	Castellane	Castellane	8,125	1,320	6	5	32
04	Digne-les-Bains	Digne-les-Bains	48,128	2,465	20	10	65
04	Forcalquier	Forcalquier	75,739	2,112	36	13	87
05	Briançon	Briançon	32,124	2,138	15	7	38
05	Gap	Gap	89,295	3,411	26	23	139
06	Grasse	Grasse	504,632	1,231	410	19	62
06	Nice	Nice	506,694	3,067	165	33	101
07	Largentière	Largentière	44,264	1,928	23	10	103
07	Privas	Privas	118,028	1,742	68	11	110
07	Tournon-sur-Rhône	Tournon-sur-Rhône	123,731	1,858	67	12	126
08	Charleville-Mézières	Charleville-Mézières	171,608	1,825	94	17	160
08	Rethel	Rethel	33,951	1,200	28	6	101
08	Sedan	Sedan	62,096	792	78	6	79
08	Vouziers	Vouziers	22,475	1,412	16	8	123
09	Foix	Foix	50,114	2,078	24	9	135
09	Pamiers	Pamiers	61,058	1,315	46	7	115
09	Saint-Girons	Saint-Girons	26,033	1,497	17	6	82
10	Bar-sur-Aube	Bar-sur-Aube	30,396	1,193	25	5	104
10	Nogent-sur-Seine	Nogent-sur-Seine	51,441	1,277	40	6	82
10	Troyes	Troyes	210,294	3,534	60	22	247
11	Carcassonne	Carcassonne	141,890	2,668	53	18	207
11	Limoux	Limoux	41,489	1,781	23	8	149
11	Narbonne	Narbonne	126,391	1,690	75	9	82
12	Millau	Millau	67,612	3,467	19	15	101
12	Rodez	Rodez	132,566	3,974	33	23	139
12	Villefranche-de-Rouergue	Villefranche-de-Rouergue	63,630	1,293	49	8	64
13	Aix-en-Provence	Aix-en-Provence	381,986	1,532	249	10	44
13	Arles	Arles	180,948	2,284	79	9	36
13	Istres	Istres	292,703	599	488	8	18
13	Marseille	Marseille	980,082	672	1,459	30	21
14	Bayeux	Bayeux	63,022	952	66	6	126
14	Caen	Caen	389,973	1,990	196	24	287
14	Lisieux	Lisieux	140,504	1,650	85	13	204
14	Vire	Vire	54,886	956	57	6	88
15	Aurillac	Aurillac	82,116	1,937	42	12	96
15	Mauriac	Mauriac	28,649	1,278	22	6	55
15	Saint-Flour	Saint-Flour	40,013	2,511	16	9	109
16	Angoulême	Angoulême	219,826	3,320	66	21	245
16	Cognac	Cognac	83,083	1,240	67	8	96
16	Confolens	Confolens	36,719	1,396	26	6	63
17	Jonzac	Jonzac	51,675	1,530	34	7	114
17	Rochefort	Rochefort	161,340	1,528	106	13	79
17	La Rochelle	La Rochelle	184,728	818	226	15	57
17	Saintes	Saintes	108,989	1,546	70	9	107
17	Saint-Jean-d'Angély	Saint-Jean-d'Angély	50,292	1,442	35	7	115
18	Bourges	Bourges	174,031	2,798	62	16	131
18	Saint-Amand-Montrond	Saint-Amand-Montrond	67,344	2,670	25	11	116
18	Vierzon	Vierzon	73,053	1,767	41	8	43
19	Brive-la-Gaillarde	Brive-la-Gaillarde	121,150	1,526	79	15	99
19	Tulle	Tulle	76,997	2,564	30	14	118
19	Ussel	Ussel	34,429	1,766	19	8	69
2A	Ajaccio	Ajaccio	84,921	2,195	39	14	80
2A	Sartène	Sartène	33,672	1,819	19	8	44
2B	Bastia	Bastia	92,640	1,382	67	16	94
2B	Calvi	Calvi	17,875	861	21	4	33
2B	Corte	Corte	31,088	2,423	13	10	109
21	Beaune	Beaune	92,131	2,118	43	10	194
21	Dijon	Dijon	350,448	3,049	115	21	259
21	Montbard	Montbard	64,176	3,596	18	12	254
22	Dinan	Dinan	112,076	1,755	64	12	101
22	Guingamp	Guingamp	84,588	1,966	43	12	90
22	Lannion	Lannion	93,105	904	103	7	60
22	Saint-Brieuc	Saint-Brieuc	252,604	2,252	112	21	122
23	Aubusson	Aubusson	39,993	2,539	16	12	118
23	Guéret	Guéret	84,477	3,027	28	15	142
24	Bergerac	Bergerac	103,105	2,182	47	14	159
24	Nontron	Nontron	41,782	1,621	26	8	80
24	Périgueux	Périgueux	173,821	3,337	52	18	196
24	Sarlat-la-Canéda	Sarlat-la-Canéda	69,585	1,921	36	10	122
25	Besançon	Besançon	246,872	2,497	99	17	316
25	Montbéliard	Montbéliard	183,248	1,444	127	13	193
25	Pontarlier	Pontarlier	68,942	1,293	53	5	85
26	Die	Die	37,733	2,287	16	9	104
26	Nyons	Nyons	62,025	1,722	36	7	101
26	Valence	Valence	338,020	2,521	134	20	164
27	Les Andelys	Les Andelys	135,740	1,419	96	10	156
27	Bernay	Bernay	131,050	2,060	64	15	239
27	Évreux	Évreux	274,264	2,561	107	18	280
28	Chartres	Chartres	194,340	2,130	91	11	162
28	Châteaudun	Châteaudun	56,886	1,439	40	5	80
28	Dreux	Dreux	120,298	1,501	80	9	109
28	Nogent-le-Rotrou	Nogent-le-Rotrou	36,141	811	45	4	52
29	Brest	Brest	353,541	1,408	251	20	80
29	Châteaulin	Châteaulin	81,534	1,804	45	7	61
29	Morlaix	Morlaix	121,331	1,319	92	10	60
29	Quimper	Quimper	296,012	2,202	134	17	82
30	Alès	Alès	133,761	1,322	101	12	101
30	Nîmes	Nîmes	457,769	3,133	146	24	177
30	Le Vigan	Le Vigan	31,595	1,398	23	10	75
31	Muret	Muret	154,872	1,639	94	11	126
31	Saint-Gaudens	Saint-Gaudens	71,959	2,140	34	11	236
31	Toulouse	Toulouse	819,507	2,531	324	31	226
32	Auch	Auch	73,410	2,134	34	12	154
32	Condom	Condom	62,242	2,437	26	11	159
32	Mirande	Mirande	36,683	1,686	22	8	150
33	Arcachon	Arcachon	129,731	1,494	87	4	17
33	Blaye	Blaye	54,136	696	78	4	55
33	Bordeaux	Bordeaux	860 263	1,522	565	25	82
33	Langon	Langon	79,439	2,306	34	13	169
33	Lesparre-Médoc	Lesparre-Médoc	42,854	1,318	33	4	32
