#	Original title	Directed by	Written by	Original airdate	Prod. code
2–1	"Back & Bad"	Delyth Thomas	Mary Morris	10July2003	2.1
2–2	"Bedsit"	Joss Agnew	Laura Summers	10July2003	2.2
2–3	"Brothers"	Joss Agnew	Ian Carney	17July2003	2.3
2–4	"Action Therapy"	Delyth Thomas	Gary Parker	17July2003	2.4
2–5	"Alien"	Joss Agnew	Rob Gittins	24July2003	2.5
2–6	"Doggie"	Delyth Thomas	Tracy Brabin	24July2003	2.6
2–7	"Bad Girls"	Delyth Thomas	Othniel Smith	31July2003	2.7
2–8	"Big Fight"	Delyth Thomas	Andy Walker	31July2003	2.8
2–9	"Hollywood"	Joss Agnew	Sam Bain & Jesse Armstrong	7August2003	2.9
2–10	"Home Truths"	Delyth Thomas	Mary Morris	7August2003	2.10
2–11	"Day Trip"	Joss Agnew	Gary Parker	14August2003	2.11
2–12	"Christmas"	Delyth Thomas	Laura Summers	14August2003	2.12
2–13	"Takeover"	Delyth Thomas	Sam Bain & Jesse Armstrong	21August2003	2.13
2–14	"Work"	Joss Agnew	Lucy Flannery	21August2003	2.14
2–15	"Bridesmaid"	Joss Agnew	Mary Morris	28August2003	2.15
2–16	"Quiz"	Delyth Thomas	Rob Gittins & Gary Parker	28August2003	2.16
2–17	"Two-Timing Adele"	Delyth Thomas	Abigail Abben Mensah	4September2003	2.17
2–18	"Secrets and Lies"	Joss Agnew	Othniel Smith	4September2003	2.18
2–19	"Music"	Joss Agnew	Laura Summers	11September2003	2.19
2–20	"Family Tree"	Delyth Thomas	Andy Walker	11September2003	2.20
2–21	"Ben's Party"	Joss Agnew	Laura Summers	17September2003	2.21
2–22	"Get Lost"	Joss Agnew	Mary Morris	17September2003	2.22
2–23	"The Long Goodbye"	Delyth Thomas	Othniel Smith	24September2003	2.23
2–24	"Genius at Work"	Delyth Thomas	Othniel Smith	24September2003	2.24
2–25	"Nathan's Assessment"	Delyth Thomas	Laura Summers	1October2003	2.25
