Date	Visitor	Score	Home	Attendance	Record	Points
December 1	Pittsburgh	4–4	Oakland	2,676	5–12–5	15
December 4	Detroit	7–2	Pittsburgh	4,451	5–13–5	15
December 7	Pittsburgh	1–1	St. Louis	15,057	5–13–6	16
December 8	Toronto	4–1	Pittsburgh	5,167	5–14–6	16
December 11	Pittsburgh	4–2	Minnesota	10,068	6–14–6	18
December 14	Los Angeles	2–1	Pittsburgh	6,346	6–15–6	18
December 15	Pittsburgh	3–5	Boston	14,436	6–16–6	18
December 17	Pittsburgh	2–8	Philadelphia	6,986	6–17–6	18
December 21	Minnesota	3–1	Pittsburgh	5,307	6–18–6	18
December 22	Pittsburgh	1–3	Chicago	16,666	6–19–6	18
December 25	Detroit	3–6	Pittsburgh	2,420	7–19–6	20
December 26	Pittsburgh	2–3	St. Louis	15,056	7–20–6	20
December 28	Oakland	4–3	Pittsburgh	8,196	7–21–6	20
December 31	Montreal	4–3	Pittsburgh	3,979	7–22–6	20
