Sanctioning	Race Name	Circuit	City/Location	Date
Joint CART/USAC (CRL)	Datsun Twin 200	Ontario Motor Speedway	Ontario, California	April 13
Joint CART/USAC (CRL)	Indianapolis 500-Mile Race	Indianapolis Motor Speedway	Indianapolis , Indiana	May 26
Joint CART/USAC (CRL)	Gould Rex Mays Classic 150	Milwaukee Mile	West Allis, Wisconsin	June 8
Joint CART/USAC (CRL)	True Value 500	Pocono Raceway	Long Pond, Pennsylvania	June 22
Joint CART/USAC (CRL)	Red Roof Inns 150	Mid-Ohio Sports Car Course	Lexington, Ohio	July 13
CART	Norton 200	Michigan International Speedway	Brooklyn, Michigan	July 20
CART	Kent Oil 150	Watkins Glen International	Watkins Glen, New York	August 3
CART	Tony Bettenhausen 200	Milwaukee Mile	West Allis, Wisconsin	August 10
CART	California 500	Ontario Motor Speedway	Ontario, California	August 31
CART	Gould Grand Prix 150	Michigan International Speedway	Brooklyn, Michigan	September 20
CART	I Copa México 150	Autódromo Hermanos Rodríguez	Mexico City, Mexico	October 26
CART	Miller High Life 150	Phoenix International Raceway	Avondale, Arizona	November 8
