Name	Pos.	Height	Weight	2012 club
Flóra Bolonyai Category:Articles with hCards	GK	m ()	kg (lb)	USC Trojans
Dóra Czigány Category:Articles with hCards	CF	m ()	kg (lb)	ZF-Eger
Dóra Antal Category:Articles with hCards	CF	m ()	kg (lb)	ZF-Eger
Hanna Kisteleki Category:Articles with hCards	CF	m ()	kg (lb)	BVSC ‐ Zugló
Gabriella Szűcs Category:Articles with hCards	CF	m ()	kg (lb)	Dunaújvárosi Főiskola VE
Orsolya Takács Category:Articles with hCards	CB	m ()	kg (lb)	Szentesi Vizilabda Klub
Rita Drávucz Category:Articles with hCards	D	m ()	kg (lb)	Pro Recco
Rita Keszthelyi Category:Articles with hCards	D	m ()	kg (lb)	Szentesi Vizilabda Klub
Ildikó Tóth Category:Articles with hCards	CB	m ()	kg (lb)	BVSC ‐ Zugló
Barbara Bujka Category:Articles with hCards	CB	m ()	kg (lb)	Waterpolo Fontalba Messina
Dóra Csabai Category:Articles with hCards	CB	m ()	kg (lb)	BVSC ‐ Zugló
Katalin Menczinger Category:Articles with hCards	CB	m ()	kg (lb)	Dunaújvárosi Főiskola VE
Edina Gangl Category:Articles with hCards	GK	m ()	kg (lb)	ZF-Eger
