Driver	Constructor	Laps	Time/Retired	Grid
David Coulthard	McLaren - Mercedes	71	1:39:00.834	5
Michael Schumacher	Ferrari	71	+16.164	1
Nick Heidfeld	Sauber - Petronas	70	+1 Lap	9
Olivier Panis	BAR - Honda	70	+1 Lap	11
Jarno Trulli	Jordan - Honda	70	+1 Lap	7
Giancarlo Fisichella	Benetton - Renault	70	+1 Lap	18
Jacques Villeneuve	BAR - Honda	70	+1 Lap	12
Jean Alesi	Prost - Acer	70	+1 Lap	15
Tarso Marques	Minardi - European	68	+3 Laps	22
Jenson Button	Benetton - Renault	64	+7 Laps	20
Heinz-Harald Frentzen	Jordan - Honda	63	Electrical	8
Kimi Räikkönen	Sauber - Petronas	55	Spun off	10
Ralf Schumacher	Williams - BMW	54	Spun off	2
Gastón Mazzacane	Prost - Acer	54	Clutch	21
Eddie Irvine	Jaguar - Cosworth	52	Spun off	13
Juan Pablo Montoya	Williams - BMW	38	Collision	4
Jos Verstappen	Arrows - Asiatech	37	Collision	17
Luciano Burti	Jaguar - Cosworth	30	Engine	14
Fernando Alonso	Minardi - European	25	Electrical	19
Enrique Bernoldi	Arrows - Asiatech	15	Hydraulics	16
Rubens Barrichello	Ferrari	2	Collision	6
Mika Häkkinen	McLaren - Mercedes	0	Stalled	3
