Round	Pick	Overall	Name	Position	College
2	7	21	Bob Breitenstein	OT	Tulsa
3	6	34	Kent McCloughan	CB	Nebraska
8	7	105	Don Croftcheck	G	Indiana
9	6	118	Jerry Smith	TE	Arizona State
10	7	133	Bob Briggs	FB	Central State
11	6	146	Willie Adams	DE	New Mexico State
12	6	160	John Strohmeyer	OT	Michigan
13	6	174	Biff Bracy	HB	Duke
14	7	189	Dave Estrada	HB	Arizona State
15	6	202	Ben Baldwin	RB	Vanderbilt
16	7	217	Bob Reed	G	Tennessee A&I
17	6	230	Gary Hart	E	Vanderbilt
18	7	245	Chris Hanburger	LB	North Carolina
19	6	258	Roosevelt Ellerbe	RB	Iowa State
