Team	2003–04 Pts	2004–05 Pts	2001–02 Pts	Total Pts	Total Pld
River Plate	84	79	66	205	114
Boca Juniors	68	79	75	222	114
Quilmes	—	—	60	60	38
San Lorenzo	57	56	62	175	114
Racing	68	53	50	171	114
Vélez Sársfield	48	66	53	167	114
Colón	56	57	49	162	114
Banfield	48	48	64	160	114
Arsenal	—	49	55	104	76
Newell'sOldBoys	51	49	51	151	114
Gimnasia y Esgrima (LP)	64	46	38	148	114
Independiente	41	61	44	146	114
Rosario Central	40	62	44	146	114
Lanús	51	51	42	144	114
Estudiantes (LP)	51	43	44	138	114
Olimpo	—	51	39	90	76
Talleres (C)	30	44	59	133	114
Atlético de Rafaela	—	—	43	43	38
Chacarita Juniors	47	41	38	126	114
Nueva Chicago	48	41	28	117	114
