Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1996	Nunung Subandoro	Zheng Yaqiong	Choong Tan Fook Lee Wan Wah	Peng Xingyong Zhang Jin	Liu Yong Zhang Jin
1997	Chen Gang	Susi Susanti	Ricky Subagja Rexy Mainaky	Eliza Nathanael Zelin Resiana	Bambang Supriyanto Riseu Rosalina
1998 2005	No competition	No competition	No competition	No competition	No competition
2006	Andrew Smith	Bae Seung-hee	Yoo Yeon-seong Jeon Jun-bum	Kim Jin-ock Lee Jung-mi	Yoo Yeon-seong Lee Jung-mi
2007	Roslin Hashim	Zhu Jingjing	Kwon Yi-goo Ko Sung-hyun	Natalia Poluakan Yulianti	Tontowi Ahmad Yulianti
2008	Nguyen Tien Minh	Zhang Beiwen	Choong Tan Fook Lee Wan Wah	Shendy Puspa Irawati Meiliana Jauhari	Tontowi Ahmad Shendy Puspa Irawati
2009	Nguyen Tien Minh	Fransisca Ratnasari	Luluk Hadiyanto Joko Riyadi	Anneke Feinya Agustin Annisa Wahyuni	Flandy Limpele Cheng Wen-hsing
2010	Chen Yuekun	Ratchanok Inthanon	Mohammad Ahsan Bona Septano	Ma Jin Zhong Qianxin	He Hanbin Ma Jin
2011	Nguyen Tien Minh	Fu Mingtian	Angga Pratama Ryan Agung Saputra	Anneke Feinya Agustin Nitya Krishinda Maheswari	Vitaliy Durkin Nina Vislova
2012	Nguyen Tien Minh	Porntip Buranaprasertsuk	Bodin Issara Maneepong Jongjit	Pia Zebadiah Rizki Amelia Pradipta	Markis Kido Pia Zebadiah
