Townland	Area( acres )	Barony	Civil parish	Poor law union
Aghern East	328	Kinnatalloon	Aghern	Fermoy
Aghern West	287	Kinnatalloon	Aghern	Fermoy
Ballinlegane	443	Kinnatalloon	Ballynoe	Fermoy
Ballinscurloge	633	Kinnatalloon	Ballynoe	Fermoy
Ballyanthony	273	Kinnatalloon	Mogeely	Youghal
Ballybride Lower	339	Kinnatalloon	Knockmourne	Fermoy
Ballybride Upper	342	Kinnatalloon	Knockmourne	Fermoy
Ballyclogh	112	Kinnatalloon	Mogeely	Fermoy
Ballycullane	236	Kinnatalloon	Mogeely	Fermoy
Ballyerrin	175	Kinnatalloon	Mogeely	Fermoy
Ballyknock	405	Kinnatalloon	Ballynoe	Fermoy
Ballyknock North	317	Kinnatalloon	Ballynoe	Fermoy
Ballyknock South	600	Kinnatalloon	Ballynoe	Fermoy
Ballyknockane	212	Kinnatalloon	Mogeely	Youghal
Ballylusky	612	Kinnatalloon	Aghern	Fermoy
Ballymacsimon	425	Kinnatalloon	Aghern	Fermoy
Ballymonteen	482	Kinnatalloon	Ballynoe	Fermoy
Ballynattin	373	Kinnatalloon	Ballynoe	Fermoy
Ballynoe	243	Kinnatalloon	Ballynoe	Fermoy
Belvidere	171	Kinnatalloon	Knockmourne	Fermoy
Blackpool	38	Kinnatalloon	Mogeely	Fermoy
Booladurragha North	289	Kinnatalloon	Ballynoe	Fermoy
Booladurragha South	270	Kinnatalloon	Ballynoe	Fermoy
Bridepark	81	Kinnatalloon	Knockmourne	Fermoy
Caher	226	Kinnatalloon	Mogeely	Youghal
Carrigeen East	320	Kinnatalloon	Knockmourne	Fermoy
Carrigeen West	135	Kinnatalloon	Knockmourne	Fermoy
Carrigeenhill	355	Kinnatalloon	Knockmourne	Fermoy
Carrigmore	282	Kinnatalloon	Knockmourne	Fermoy
Castleview	181	Kinnatalloon	Knockmourne	Fermoy
Clashaganniv	423	Kinnatalloon	Knockmourne	Fermoy
Conna	466	Kinnatalloon	Knockmourne	Fermoy
Cooladurragh	185	Kinnatalloon	Knockmourne	Fermoy
Cullenagh	367	Kinnatalloon	Ballynoe	Fermoy
Curraglass East	62	Kinnatalloon	Mogeely	Fermoy
Curraglass West	97	Kinnatalloon	Mogeely	Fermoy
