Year	Round	Winner	Hawthorn score	St Kilda score	Attendance	Venue	Silk-Miller Medallist
1999	12	Hawthorn	17.7.109	14.12.96	36381	Waverley Park	Shane Crawford - Hawthorn
2000	14	Hawthorn	27.9.171	13.8.86	21744	MCG	Paul Salmon - Hawthorn
2001	7	Hawthorn	16.14.110	15.9.99	37940	Etihad Stadium	Daniel Chick - Hawthorn
2001	22	St Kilda	13.9.87	13.11.89	24113	MCG	Barry Hall - St Kilda
2002	13	Hawthorn	13.9.87	11.12.78	28928	Etihad Stadium	Joel Smith - Hawthorn
2003	10	St Kilda	14.6.90	17.16.118	25745	MCG	Robert Harvey - St Kilda
2004	13	St Kilda	9.7.61	19.13.127	39925	Etihad Stadium	Fraser Gehrig - St Kilda
2005	12	St Kilda	8.6.54	15.10.100	33905	MCG	Robert Harvey - St Kilda
2006	13	St Kilda	8.7.55	18.17.125	33869	Etihad Stadium	Luke Ball - St Kilda
2007	8	Hawthorn	10.12.72	6.8.44	36069	MCG	Shane Crawford - Hawthorn
2007	16	St Kilda	11.12.78	14.11.95	37847	Etihad Stadium	Nick Riewoldt - St Kilda
2008	16	St Kilda	13.11.89	18.11.119	41886	Etihad Stadium	Nick Riewoldt - St Kilda
2009	19	St Kilda	7.7.49	10.14.74	20011	Aurora Stadium	Adam Schneider - St Kilda
2010	17	DRAW	13.9.87	14.3.87	49373	Etihad Stadium	Luke Hodge - Hawthorn
2011	8	Hawthorn	14.15.99	10.9.69	42453	MCG	Lance Franklin - Hawthorn
2012	6	Hawthorn	18.15.123	13.10.88	42289	MCG	Cyril Rioli - Hawthorn
