Mission	Resident Country	Local Location	Local Mission	Local Position
Andorra	Spain	Andorra la Vella	N/A	Ambassador
Antigua and Barbuda	Barbados	St John's	N/A	High Commissioner
Bahamas	Jamaica	None	N/A	High Commissioner
Benin	Nigeria	None	N/A	Ambassador
Burkina Faso	Ghana	Ouagadougou	Honorary Consulate	Ambassador
Burundi	Rwanda	Bujumbura	Liaison Office	Ambassador
Cape Verde	Senegal	São Vicente	Consulate	Ambassador
Central African Republic	Cameroon	None	N/A	Ambassador
Chad	Cameroon	N'Djamena	Consulate	Ambassador
Comoros	Mauritius	Moroni	Consulate	Ambassador
Republic of the Congo	Democratic Republic of Congo	Brazzaville	Honorary Consulate	Ambassador
Djibouti	Ethiopia	Djibouti City	Consulate	Ambassador
Dominica	Barbados	Roseau	High Commission	High Commissioner
East Timor	Indonesia	Jakarta	Honorary Consulate	Ambassador
Equatorial Guinea	Cameroon	Malabo	Embassy	Ambassador
Gabon	Cameroon	Libreville	Honorary Consulate	Ambassador
Grenada	Barbados	St. George's	High Commission	High Commissioner
Guinea-Bissau	Senegal	Bissau	Honorary Consulate	Ambassador
Haiti	Dominican Republic	Port-au-Prince	Consulate	Ambassador
Honduras	Guatemala	Tegucigalpa	Honorary Consulate	Ambassador
Kiribati	Fiji	Tarawa Atoll	High Commission	High Commissioner
Lesotho	South Africa	None	N/A	High Commissioner
Liechtenstein	Switzerland	None	N/A	Ambassador
Maldives	Sri Lanka	Malé	Honorary Consulate	High Commissioner
Mali	Senegal	Bamako	Embassy Liaison Office	Ambassador
Marshall Islands	Fiji	None	N/A	Ambassador
Mauritania	Morocco	Nouakchott	Honorary Consulate	Ambassador
Federated States of Micronesia	Fiji	None	N/A	Ambassador
Monaco	France	Monaco	Honorary Consulate	Ambassador
Nauru	Fiji	None	N/A	High Commissioner
Nicaragua	Costa Rica	Managua	Honorary Consulate	Ambassador
Niger	Ghana	Niamey	Honorary Consulate	Ambassador
Palau	Philippines	None	N/A	Ambassador
Saint Kitts and Nevis	Barbados	Basseterre	High Commission	High Commissioner
Saint Lucia	Barbados	Castries	High Commission	High Commissioner
Saint Vincent and the Grenadines	Barbados	Kingstown	High Commission	High Commissioner
Samoa	New Zealand	Apia	High Commission	High Commissioner
San Marino	Italy	Rome	Consulate-General	Ambassador
São Tomé and Príncipe	Angola	São Tomé	Consulate	Ambassador
Somalia	Kenya	None	N/A	Ambassador
Suriname	Guyana	Paramaribo	Consulate	Ambassador
Swaziland	South Africa	None	N/A	High Commissioner
Togo	Ghana	None	N/A	Ambassador
Tonga	Fiji	None	N/A	High Commissioner
Tuvalu	Fiji	None	N/A	High Commissioner
Vanuatu	Solomon Islands	None	N/A	High Commissioner
