Week	Date	Opponent	Location	Final Score	Attendance	Record
1	July 7	CFLers	SkyDome	L 28–20	13101	0–1
2	July 16	@ Pirates	Independence Stadium	W 35–34	20624	1–1
3	July 22	@ Roughriders	Taylor Field	L 35–24	23433	1–2
4	July 29	Posse	SkyDome	W 39–20	14296	2–2
5	August 4	Blue Bombers	SkyDome	L 54–34	13407	2–3
6	August 11	@ Lions	BC Place Stadium	L 54–39	19424	2–4
7	August 20	@ CFLers	Memorial Stadium	W 31–24	41155	3–4
8	August 25	Stampeders	SkyDome	L 52–3	19158	3–5
9	September 5	@ Tiger-Cats	Ivor Wynne Stadium	W 31–19	20687	4–5
10	September 11	Lions	SkyDome	L 28–18	15259	4–6
11	September 18	Rough Riders	SkyDome	L 40–32	15102	4–7
12	September 25	@ Eskimos	Commonwealth Stadium	L 28–25	24132	4–8
13	October 2	Tiger-Cats	SkyDome	W 39–36	18709	5–8
14	October 8	@ Gold Miners	Hornet Stadium	L 34–32	13050	5–9
15	October 16	@ Rough Riders	Frank Clair Stadium	W 24–22	21029	6–9
16	October 23	Eskimos	SkyDome	W 23–6	22210	7–9
17	October 28	Pirates	SkyDome	L 29–27	20328	7–10
