Rider	Manufacturer	Laps	Time	Grid
Simone Corsi	Aprilia	23	40:56.168	1
Joan Olivé	Derbi	23	+0.299	6
Nicolás Terol	Aprilia	23	+6.355	3
Steve Bonsey	Aprilia	23	+14.973	2
Danny Webb	Aprilia	23	+15.532	4
Gabor Talmacsi	Aprilia	23	+15.868	9
Mike Di Meglio	Derbi	23	+15.875	8
Stefan Bradl	Aprilia	23	+17.887	7
Sergio Gadea	Aprilia	23	+18.123	5
Sandro Cortese	Aprilia	23	+22.613	20
Andrea Iannone	Aprilia	23	+27.490	12
Dominique Aegerter	Derbi	23	+27.544	19
Pol Espargaro	Derbi	23	+28.370	21
Michael Ranseder	Aprilia	23	+28.417	22
Efren Vazquez	Aprilia	23	+32.713	15
Tomoyoshi Koyama	KTM	23	+34.002	11
Stefano Bianco	Aprilia	23	+47.698	17
Marc Márquez	KTM	23	+51.637	26
Takaaki Nakagami	Aprilia	23	+51.679	24
Alexis Masbou	Loncin	23	+51.717	25
Scott Redding	Aprilia	23	+1:07.908	10
Pere Tutusaus	Aprilia	23	+1:15.894	23
Dino Lombardi	Aprilia	23	+1:19.975	33
Robert Muresan	Aprilia	23	+1:39.194	30
Cyril Carrillo	Honda	23	+1:39.218	34
Axel Pons	Aprilia	23	+1:43.956	32
Ivan Maestro	Aprilia	22	+1 Lap	31
Karel Pešek	Aprilia	22	+1 Lap	36
Bradley Smith	Aprilia	12	Accident	13
Lorenzo Zanetti	KTM	12	Retirement	28
Pablo Nieto	KTM	11	Retirement	14
Jules Cluzel	Loncin	8	Retirement	27
Esteve Rabat	KTM	7	Retirement	18
Raffaele de Rosa	KTM	6	Accident	16
Hugo Van Den Berg	Aprilia	0	Accident	29
