Date	Tournament	Surface	Partnering	Opponent in the final	Score
1984	Bordeaux , France	Clay	Loïc Courteau	Pavel Složil Blaine Willenborg	1–6, 4–6
1985	Nice , France	Clay	Loïc Courteau	Claudio Panatta Pavel Složil	6–3, 3–6, 6–8
1986	Memphis , USA	Carpet	Anders Järryd	Ken Flach Robert Seguso	4–6, 6–4, 6–7
1986	Itaparica , Brazil	Hard	Loic Courteau	Chip Hooper Mike Leach	5–7, 3–6
1986	Masters Doubles , London	Carpet	Yannick Noah	Stefan Edberg Anders Järryd	3–6, 6–7, 3–6
1987	French Open, Paris	Clay	Yannick Noah	Anders Järryd Robert Seguso	7–6, 7–6, 3–6, 4–6, 2–6
1987	Gstaad , Switzerland	Clay	Loic Courteau	Jan Gunnarsson Tomáš Šmíd	6–7, 2–6
1988	Toulouse , France	Hard (i)	Mansour Bahrami	Tom Nijssen Ricki Osterthun	3–6, 4–6
1991	Indian Wells , USA	Hard	Henri Leconte	Jim Courier Javier Sánchez	6–7, 6–3, 3–6
1991	Gstaad , Switzerland	Clay	Jakob Hlasek	Gary Muller Danie Visser	6–7, 4–6
1992	Brussels , Belgium	Carpet	Jakob Hlasek	Boris Becker John McEnroe	3–6, 2–6
1992	Bordeaux , France	Clay	Arnaud Boetsch	Sergio Casal Emilio Sánchez	1–6, 4–6
1992	Toulouse , France	Hard (i)	Henri Leconte	Brad Pearce Byron Talbot	1–6, 6–3, 3–6
1995	Ostrava , Czech Republic	Carpet	Patrick Rafter	Jonas Björkman Javier Frana	7–6, 4–6, 6–7
1996	Milan , Italy	Carpet	Jakob Hlasek	Andrea Gaudenzi Goran Ivanišević	4–6, 5–7
1996	Hamburg , Germany	Clay	Jakob Hlasek	Mark Knowles Daniel Nestor	2–6, 4–6
1996	French Open, Paris	Clay	Jakob Hlasek	Yevgeny Kafelnikov Daniel Vacek	2–6, 3–6
