Member	Party	Electorate	State	Term of office
Rt Hon Charles Adermann	Country	Fisher	Qld	1943–1972
Ian Allan [7 ]	Country	Gwydir	NSW	1953–1969
Hon Doug Anthony	Country	Richmond	NSW	1957–1984
Bill Armstrong	Country	Riverina	NSW	1965–1969
William Arthur	Liberal	Barton	NSW	1966–1969
William Aston	Liberal	Phillip	NSW	1955–1961, 1963–1972
Lance Barnard	Labor	Bass	Tas	1954–1975
Hon Charles Barnes	Country	McPherson	Qld	1958–1972
Jeff Bate	Liberal	Macarthur	NSW	1949–1972
Noel Beaton [6 ]	Labor	Bendigo	Vic	1960–1969
Kim Beazley	Labor	Fremantle	WA	1945–1977
Sam Benson	Independent	Batman	Vic	1962–1969
Fred Birrell	Labor	Port Adelaide	SA	1963–1974
Robert Bonnett	Liberal	Herbert	Qld	1966–1977
Leonard Bosman	Liberal	St George	NSW	1963–1969
Nigel Bowen	Liberal	Parramatta	NSW	1964–1973
William Bridges-Maxwell	Liberal	Robertson	NSW	1964–1969
Kay Brownbill	Liberal	Kingston	SA	1966–1969
Gordon Bryant	Labor	Wills	Vic	1955–1980
Alexander Buchanan	Liberal	McMillan	Vic	1955–1972
Hon Leslie Bury	Liberal	Wentworth	NSW	1956–1974
Dr Jim Cairns	Labor	Yarra	Vic	1955–1977
Kevin Cairns	Liberal	Lilley	Qld	1963–1972, 1974–1980
Sam Calder [1 ]	CLP	Northern Territory	NT	1966–1980
Hon Arthur Calwell	Labor	Melbourne	Vic	1940–1972
Clyde Cameron	Labor	Hindmarsh	SA	1949–1980
Donald Milner Cameron	Liberal	Griffith	Qld	1966–1990
Hon Fred Chaney	Liberal	Perth	WA	1955–1969
Don Chipp	Liberal	Higinbotham	Vic	1960–1977
Joe Clark	Labor	Darling	NSW	1934–1969
Richard Cleaver	Liberal	Swan	WA	1955–1969
Fred Collard	Labor	Kalgoorlie	WA	1961–1975
Rex Connor	Labor	Cunningham	NSW	1963–1977
Jim Cope	Labor	Watson	NSW	1955–1975
James Corbett	Country	Maranoa	Qld	1966–1980
Dominic Costa	Labor	Banks	NSW	1949–1969
Frank Courtnay	Labor	Darebin	Vic	1958–1969
Hon John Cramer	Liberal	Bennelong	NSW	1949–1974
Frank Crean	Labor	Melbourne Ports	Vic	1951–1977
Manfred Cross	Labor	Brisbane	Qld	1961–1975, 1980–1990
Dan Curtin	Labor	Kingsford-Smith	NSW	1949–1969
Fred Daly	Labor	Grayndler	NSW	1943–1975
Ron Davies	Labor	Braddon	Tas	1958–1975
Leonard Devine	Labor	East Sydney	NSW	1963–1969
Don Dobie	Liberal	Hughes	NSW	1966–1972, 1975–1996
Nigel Drury	Liberal	Ryan	Qld	1949–1975
Gil Duthie	Labor	Wilmot	Tas	1946–1975
John England	Country	Calare	NSW	1960–1975
Dudley Erwin	Liberal	Ballaarat	Vic	1955–1975
Dr Doug Everingham [3 ]	Labor	Capricornia	Qld	1967–1975, 1977–1984
Laurie Failes	Country	Lawson	NSW	1949–1969
Hon David Fairbairn	Liberal	Farrer	NSW	1949–1975
Hon Allen Fairhall	Liberal	Paterson	NSW	1949–1969
Hon Dr Jim Forbes	Liberal	Barker	SA	1956–1975
Max Fox	Liberal	Henty	Vic	1955–1974
James Fraser [1 ]	Labor	Australian Capital Territory	ACT	1951–1970
Hon Malcolm Fraser	Liberal	Wannon	Vic	1955–1983
Hon Gordon Freeth	Liberal	Forrest	WA	1949–1969
Bill Fulton	Labor	Leichhardt	Qld	1958–1975
Victor Garland [5 ]	Liberal	Curtin	WA	1969–1981
Dr Wylie Gibbs	Liberal	Bowman	Qld	1963–1969
Adrian Gibson	Liberal	Denison	Tas	1964–1969
Geoffrey Giles	Liberal	Angas	SA	1964–1983
Rt Hon John Gorton [4 ]	Liberal	Higgins	Vic	1968–1975
Bill Graham	Liberal	North Sydney	NSW	1949–1954, 1955–1958, 1966–1980
George Gray [3 ]	Labor	Capricornia	Qld	1961–1967
Charles Griffiths	Labor	Shortland	NSW	1949–1972
John Hallett	Country	Canning	WA	1963–1974
Brendan Hansen	Labor	Wide Bay	Qld	1961–1974
Jim Harrison	Labor	Blaxland	NSW	1949–1969
Hon Paul Hasluck [5 ]	Liberal	Curtin	WA	1949–1969
William Haworth	Liberal	Isaacs	Vic	1949–1969
Bill Hayden	Labor	Oxley	Qld	1961–1988
