Rocket launch	Launch Date	Mission	Institutional authority	Launch Site	Outcomes	Derivatives
Rehbar-I	June 7, 1962; 14:45 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 1; Success	Nike-Cajun
Rehbar-II	June 11, 1962; 14:50 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 1; Success	Nike-Cajun
Rehbar-3	March 18, 1964; 14:50 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 1; Success	Judi-Dart
Rehbar-4	January 12, 1966; 12:30 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Rehbar-5	January 26, 1966; 12:18 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Rehbar-6	February 16, 1966; 04:30 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Rehbar-7	January 26, 1966; 12:18 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Rehbar-15	May 3, 1967; 14:29 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 1; Success	Centaure
Shahpar-1	May 5, 1967; 14:29 GMT	Test Mission	SUPARCO	Sonmiani Terminal	Level 1; Success	Dragon
Rehbar-16	May 7, 1967; 14:30 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 1; Success	Centaure
Rehbar-17	March 23, 1968; 19:04 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 1; Success	Centaure
Shahpar-2	March 29, 1968; 19:20 GMT	Test Mission	SUPARCO	Sonmiani Terminal	Level 1; Success	Dragon
Rehbar-18	April 3, 1968; 05:38 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 1; Success	Centaure
Rehbar-19	February 9, 1969; 13:46 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Failure	Centaure
Rehbar-20	February 13, 1969; 13:48 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Failure	Centaure
Rehnuma-1	March 31, 1969; 14:18 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 1; Partial Success	Centaure
Rehnuma-2	June 16, 1969; 14:34 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Rehnuma-3	July 20, 1969; 14:30 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Rehnuma-4	July 30, 1969; 14:45 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Rehnuma-5	August 15, 1969; 14:30 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Rehnuma-6	September 10, 1969; 14:30 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Rehnuma-7	October 22, 1969; 13:50 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Rehnuma-8	November 19, 1969; 13:10 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Rehnuma-9	November 20, 1969; 13:50 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Rehnuma-10	December 17, 1969; 13:10 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
