Date	Visitor	Score	Home	Record
October 23	Chicago Black Hawks	4–0	Toronto Maple Leafs	1–0–0
October 24	Chicago Black Hawks	6–2	Boston Bruins	2–0–0
October 28	Chicago Black Hawks	5–1	Detroit Red Wings	3–0-0
October 30	Chicago Black Hawks	6–4	Montreal Canadiens	4–0–0
November 3	Boston Bruins	2–2	Chicago Black Hawks	4–0–1
November 7	Toronto Maple Leafs	0–9	Chicago Black Hawks	5–0–1
November 10	Detroit Red Wings	2–5	Chicago Black Hawks	6–0–1
November 13	Montreal Canadiens	5–2	Chicago Black Hawks	6–1–1
November 14	New York Rangers	4–2	Chicago Black Hawks	6–2–1
November 17	Chicago Black Hawks	5–3	New York Rangers	7–2–1
November 20	Chicago Black Hawks	1–3	Toronto Maple Leafs	7–3–1
November 21	Toronto Maple Leafs	7–3	Chicago Black Hawks	7–4–1
November 23	Chicago Black Hawks	3–2	Detroit Red Wings	8–4–1
November 25	Detroit Red Wings	1–3	Chicago Black Hawks	9–4–1
November 27	Chicago Black Hawks	1–0	New York Rangers	10–4–1
November 28	Montreal Canadiens	2–1	Chicago Black Hawks	10–5–1
December 1	Boston Bruins	2–4	Chicago Black Hawks	11-5–1
December 4	Chicago Black Hawks	10-1	Boston Bruins	12–5–1
December 5	Chicago Black Hawks	6–2	New York Rangers	13–5–1
December 8	New York Rangers	2–2	Chicago Black Hawks	13–5–2
December 11	Chicago Black Hawks	1–2	Montreal Canadiens	13–6–2
December 12	Montreal Canadiens	5–3	Chicago Black Hawks	13–7–2
December 15	Boston Bruins	4-8	Chicago Black Hawks	14–7–2
December 18	Chicago Black Hawks	1–3	Detroit Red Wings	14–8–2
December 19	Detroit Red Wings	4–5	Chicago Black Hawks	15–8–2
December 22	New York Rangers	3-4	Chicago Black Hawks	16–8–2
December 25	Chicago Black Hawks	3–5	Toronto Maple Leafs	16–9–2
December 26	Toronto Maple Leafs	1-1	Chicago Black Hawks	16–9–3
December 29	Chicago Black Hawks	3–0	New York Rangers	17–9–3
December 31	Chicago Black Hawks	4–1	Detroit Red Wings	18–9–3
January 2	Boston Bruins	1–3	Chicago Black Hawks	19–9–3
January 5	Chicago Black Hawks	4–2	Montreal Canadiens	20–9–3
January 8	Chicago Black Hawks	4–6	New York Rangers	20–10–3
January 9	Toronto Maple Leafs	3–5	Chicago Black Hawks	21–10–3
January 13	Chicago Black Hawks	1–1	Boston Bruins	21–10–4
January 15	Chicago Black Hawks	4-6	Montreal Canadiens	21–11–4
January 16	New York Rangers	6–5	Chicago Black Hawks	21–12–4
January 20	Chicago Black Hawks	3–4	Boston Bruins	21–13–4
January 22	Chicago Black Hawks	0–4	Toronto Maple Leafs	21–14–4
January 23	Montreal Canadiens	3–3	Chicago Black Hawks	21–14–5
January 26	Chicago Black Hawks	4–2	Montreal Canadiens	22–14–5
January 27	Chicago Black Hawks	3–5	Boston Bruins	22-15–5
January 29	Detroit Red Wings	4–4	Chicago Black Hawks	22–15–6
January 30	Chicago Black Hawks	5–1	Detroit Red Wings	23–15–6
February 2	New York Rangers	3–4	Chicago Black Hawks	24–15–6
February 5	Chicago Black Hawks	2–5	Toronto Maple Leafs	24–16–6
February 6	Toronto Maple Leafs	2–3	Chicago Black Hawks	25–16–6
February 9	Detroit Red Wings	1–2	Chicago Black Hawks	26–16–6
February 12	Montreal Canadiens	2–2	Chicago Black Hawks	26–16–7
February 13	New York Rangers	1–6	Chicago Black Hawks	27–16–7
February 16	Chicago Black Hawks	5–2	New York Rangers	28–16–7
February 19	Chicago Black Hawks	2–5	Montreal Canadiens	28–17–7
February 20	Boston Bruins	1–5	Chicago Black Hawks	29–17–7
February 23	Toronto Maple Leafs	3–2	Chicago Black Hawks	29–18–7
February 26	Chicago Black Hawks	4–1	Detroit Red Wings	30–18–7
February 27	Boston Bruins	1–7	Chicago Black Hawks	31–18–7
March 2	Detroit Red Wings	4–5	Chicago Black Hawks	32–18–7
March 5	Chicago Black Hawks	0–5	Toronto Maple Leafs	32–19–7
March 6	Montreal Canadiens	1–0	Chicago Black Hawks	32–20–7
March 9	Chicago Black Hawks	0–1	New York Rangers	32–21–7
March 12	New York Rangers	2–4	Chicago Black Hawks	33–21–7
March 13	Toronto Maple Leafs	1–5	Chicago Black Hawks	34–21–7
March 16	Detroit Red Wings	1–4	Chicago Black Hawks	35–21–7
March 19	Chicago Black Hawks	2–4	Toronto Maple Leafs	35–22–7
March 20	Montreal Canadiens	2–4	Chicago Black Hawks	36–22–7
March 23	Chicago Black Hawks	1–3	Boston Bruins	36–23–7
March 27	Chicago Black Hawks	1–1	Detroit Red Wings	36–23–8
March 29	Boston Bruins	2–4	Chicago Black Hawks	37–23–8
April 2	Chicago Black Hawks	3–8	Montreal Canadiens	37–24–8
April 3	Chicago Black Hawks	2–4	Boston Bruins	37–25–8
