Drobo (1st)	Drobo (2nd)	Drobo S	Drobo S (2nd)	Drobo FS	Drobo Mini	Drobo 5D
DR04DD10	DR04DD14	DRDR3A21	DRDR4A21	DRDS2A21	DR-Mini-1P11	DRDR5A21
2007-06-05	2008-07-08	2009-11-23	2010-11-16	2010-04-06	2012-10-26	2012-11-02
Discontinued	Discontinued	Discontinued	Discontinued	Discontinued	Available	Available
DAS	DAS	DAS	DAS	NAS	DAS	DAS
4	4	5	5	5	4+1*	5+1*
Single drive	Single drive	Single or dual drive	Single or dual drive	Single or dual drive	Single or dual drive	Single or dual drive
Single	Single	Single	Single	Up to 32	Single	Single
No	No	No	No	No	Yes	Yes
2.0	2.0	2.0	3.0	No	3.0	3.0
No	Yes	Yes	Yes	No	No	No
No	No	No	No	1x ( AFP and CIFS/SMB )	No	No
No	No	Yes	Yes	No	No	No
