Date	Opponent	Score	Attendance	Record
1 May	Atlanta Braves	4 - 2	19,991	7-19
2 May	San Francisco Giants	6 - 2	11,959	8-19
3 May	San Francisco Giants	3 - 1	18,149	9-19
4 May	San Francisco Giants	2 - 1	26,287	9-20
5 May	Los Angeles Dodgers	3 - 1	26,955	9-21
6 May	Los Angeles Dodgers	3 - 2	38,241	10-21
7 May	Los Angeles Dodgers	4 - 2	28,303	10-22
9 May	San Diego Padres	7 - 2	22,695	11-22
10 May	San Diego Padres	9 - 6	24,739	11-23
11 May	San Diego Padres	5 - 4	31,539	11-24
13 May	San Francisco Giants	4 - 1	17,828	11-25
14 May	San Francisco Giants	4 - 2	16,404	11-26
15 May	Los Angeles Dodgers	2 - 1	16,986	11-27
16 May	Los Angeles Dodgers	4 - 2	24,556	12-27
17 May	San Diego Padres	6 - 2	21,469	12-28
18 May	San Diego Padres	5 - 0	23,265	13-28
19 May	San Diego Padres	13 - 6	17,898	13-29
20 May	Houston Astros	7 - 4	14,954	14-29
21 May	Houston Astros	4 - 3	15,088	14-30
23 May	Chicago Cubs	3 - 1	23,189	14-31
24 May	Chicago Cubs	4 - 1	26,887	15-31
25 May	Chicago Cubs	7 - 5	26,844	16-31
26 May	Philadelphia Phillies	8 - 5	0	17-31
26 May	Philadelphia Phillies	8 - 4	16,798	18-31
27 May	Philadelphia Phillies	2 - 1	17,297	18-32
28 May	Philadelphia Phillies	2 - 0	15,451	19-32
29 May	Chicago Cubs	2 - 1	23,005	19-33
30 May	Chicago Cubs	5 - 1	21,267	20-33
31 May	Chicago Cubs	7 - 4	36,440	20-34
