English title	Russian title	Published in Russian	Published in English	Type of work
From Beyond	Извне	1958	1982	novella
The Land of Crimson Clouds	Страна багровых туч	1959	N/A	novel
Noon: 22nd Century	Полдень, XXII век	1962	1978	novel / collection of linked stories
Escape Attempt	Попытка к бегству	1962	1982	novella
Far Rainbow	Далёкая Радуга	1963	1979	novella
Hard to Be a God	Трудно быть богом	1964	1973	novel
Monday Begins on Saturday	Понедельник начинается в субботу	1965	1977	novel
The Final Circle of Paradise	Хищные вещи века	1965	1976	novel
Disquiet (initial variant of Snail on the Slope )	Беспокойство	1990 (written 1965)	N/A	novella
Snail on the Slope	Улитка на склоне	1966–68 (written 1965)	1980	novel
The Ugly Swans	Гадкие лебеди (also known as Время дождя)	1972 (written 1966–67)	1972	novel
Tale of the Troika	Сказка о Тройке	1968	1977	novella
Space Mowgli	Малыш	1971	1982	novel
Roadside Picnic	Пикник на обочине	1972	1977	novel
The Kid from Hell	Парень из преисподней	1974	1982	novella
Definitely Maybe	За миллиард лет до конца света	1977	1978	novella
The Doomed City	Град обреченный	1988–89 (written 1970–75)	N/A	novel
Tale of Friendship and Non-friendship	Повесть о дружбе и недружбе	1980	1988	novelette
Beetle in the Anthill	Жук в муравейнике	1980	1980	novel
Limping Fate	Хромая судьба	1986	N/A	novel
The Time Wanderers	Волны гасят ветер	1986	1987	novel
