Week	Date	Opponent	Result	Attendance
1	September 14, 1968	at Minnesota Vikings	L 47-7	45,563
2	September 22, 1968	Baltimore Colts	L 28-20	50,428
3	September 29, 1968	at San Francisco 49ers	L 28-13	27,471
4	October 6, 1968	Green Bay Packers	L 38-7	58,850
5	October 13, 1968	New York Giants	W 24-21	49,962
6	October 20, 1968	at Los Angeles Rams	L 27-14	54,443
7	October 27, 1968	at Cleveland Browns	L 30-7	67,723
8	November 3, 1968	Pittsburgh Steelers	L 41-21	47,727
9	November 10, 1968	Los Angeles Rams	L 17-10	53,979
10	November 17, 1968	at Chicago Bears	W 16-13	44,214
11	November 24, 1968	at St. Louis Cardinals	L 17-12	43,246
12	December 1, 1968	at Baltimore Colts	L 44-0	60,238
13	December 8, 1968	Detroit Lions	L 24-7	49,437
14	December 15, 1968	San Francisco 49ers	L 14-12	44,977
