Year	Event	Location	Perpetrator(s)	Deaths
1871	Attack on the Mosel (ship)	Bremerhaven	Alexander Keith, Jr.	80
1910	Los Angeles Times bombing	Los Angeles	John J. McNamara and James B. McNamara	21
1916	Preparedness Day Bombing	San Francisco	Labor leaders	10
1920	Wall Street bombing	New York City	Anarchists (suspected)	38
1939	Bürgerbräukeller	Munich	Georg Elser	7
1942	St Nazaire Raid	St Nazaire, France (wartime)	Royal Navy, British Commandos	590
1944	July Plot	Wolf's Lair, Poland (wartime)	German Resistance	4
1955	United Airlines Flight 629	over Longmont, Colorado , USA	Jack Gilbert Graham	44
1972	Aldershot Bombing	Aldershot, UK	IRA	7
1974	M62 Coach Bombing	West Yorkshire	IRA	12
1974	Birmingham pub bombings	Birmingham, UK	IRA (suspected)	21
1974	Guildford pub bombings	Guildford, UK	IRA	5
1977	Lucona sinking	Indian Ocean	Udo Proksch	6
1984	Brighton hotel bombing	Brighton, UK	IRA	5
1987	Korean Air Flight 858	Andaman Sea	North Korea	115 (all)
1987	Remembrance Day bombing	Enniskillen, Northern Ireland	IRA	12
1988	Pan Am flight 103	Above Lockerbie, Scotland	Libya	270
1989	Deal barracks bombing	Deal, Kent, UK	IRA	11
1994	Philippine Airlines Flight 434	Between Cebu and Tokyo	Ramzi Yousef	1
1996	Centennial Olympic Park bombing	Atlanta, Georgia, USA	Eric Rudolph	1
1998	Omagh bombing	Omagh, Northern Ireland	IRA	29
1999	Russian apartment bombings	Buynaksk Moscow Volgodonsk	unkn.	293
2006	Moscow market bombing	Moscow	Racialist organization	13
