Week	Date	Opponent	Result	Attendance
1	September 1, 1991	Dallas Cowboys	L 26–14	78,860
2	September 8, 1991	at New England Patriots	W 20–0	35,377
3	September 15, 1991	Cincinnati Bengals	W 14–13	78,269
4	September 22, 1991	at New York Giants	L 10–13	75,891
5	October 6, 1991	New York Jets	L 17–14	71,042
6	October 13, 1991	at Washington Redskins	L 42–17	54,715
7	October 20, 1991	at San Diego Chargers	W 30–24	48,440
8	October 27, 1991	Pittsburgh Steelers	W 17–14	78,285
9	November 3, 1991	at Cincinnati Bengals	L 23–21	55,077
10	November 10, 1991	Philadelphia Eagles	L 32–30	72,086
11	November 17, 1991	at Houston Oilers	L 28–24	58,155
12	November 24, 1991	Kansas City Chiefs	W 20–15	63,991
13	December 1, 1991	at Indianapolis Colts	W 31–0	57,539
14	December 8, 1991	Denver Broncos	L 17–7	73,539
15	December 15, 1991	Houston Oilers	L 17–14	55,680
16	December 22, 1991	at Pittsburgh Steelers	L 17–10	47,070
