Rank	City	Population	Definition	Country
1	Shanghai	13831900	Core districts + inner suburbs	China
2	Seoul	10456034	Special City	South Korea
3	Beijing	10123000	Core districts + inner suburbs	China
4	Tokyo	8795000	23 special wards area	Japan
5	Jakarta	8489910	Special capital district	Indonesia
6	Wuhan	8001541 (2006-12-31)	Core districts	China
7	Ho Chi Minh City	7123340	Province-level municipality	Vietnam
8	Bangkok	7025000	Administrative area	Thailand
9	Hong Kong	7008900	The entire territory	Hong Kong
10	Guangzhou	6172839 (2006-12-31)	Core districts	China
11	Tianjin	5800000	Core districts + inner suburbs	China
12	Singapore	4839400	Country	Singapore
13	Chongqing	4776027	Core districts	China
14	Shenyang	4101197 (2006-12-31)	Core districts	China
15	Yangon	4088000	Urban agglomeration	Burma
16	Yokohama	3670000	City proper	Japan
17	Busan	3596076	Metropolitan City	South Korea
18	Pyongyang	3255388	Directly Governed City	North Korea
