Rank	County	Name	Type	Elevation
1	Oppland	Galdhøpiggen	mountain	m (ft)
2	Sogn og Fjordane	Store Skagastølstind	mountain	m (ft)
3	Hedmark	Rondslottet	mountain	m (ft)
4	Møre og Romsdal	Puttegga	mountain	m (ft)
5	Sør-Trøndelag	Storskrymten	mountain	m (ft)
6	Buskerud	Folarskardnuten	mountain	m (ft)
7	Nordland	Oksskolten	mountain	m (ft)
8	Telemark	Gaustatoppen	mountain	m (ft)
9	Hordaland	Hardangerjøkulen	glacier	m (ft)
10	Troms	Jiehkkevárri	mountain	m (ft)
11	Rogaland	Vassdalseggi	mountain	m (ft)
12	Aust-Agder	Sæbyggjenuten	mountain	m (ft)
13	Nord-Trøndelag	Jetnamsklumpen	mountain	m (ft)
14	Vest-Agder	Urddalsknuten	mountain	m (ft)
15	Finnmark	Øksfjordjøkelen	glacier	m (ft)
16	Akershus	Fjellsjøkampen	mountain	m (ft)
17	Vestfold	Skibergfjellet	mountain	m (ft)
18	Oslo	Kjerkeberget	hill	m (ft)
19	Østfold	Slavasshøgda	hill	m (ft)
