Rank	Result	Athlete	Date	Location
1.	19.92	Frankie Fredericks	18 February 1996	Lievin
2.	20.10	Wallace Spearmon	11 March 2005	Fayetteville
3.	20.25	Linford Christie	19 February 1995	Lievin
4.	20.26	Obadele Thompson	6 March 1999	Maebashi
4.	20.26	Shawn Crawford	10 March 2000	Fayetteville
4.	20.26	John Capel	10 March 2000	Fayetteville
7.	20.27	Walter Dix	10 March 2006	Fayetteville
8.	20.30	Xavier Carter	10 March 2006	Fayetteville
9.	20.31	Coby Miller	3 March 2001	Atlanta
10.	20.32	Rohsaan Griffin	27 February 1999	Atlanta
10.	20.32	Kevin Little	5 March 1999	Maebashi
