Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	65	1:31:03.305	1
Juan Pablo Montoya	Williams - BMW	65	+40.738	12
Jacques Villeneuve	BAR - Honda	65	+49.626	7
Jarno Trulli	Jordan - Honda	65	+51.253	6
David Coulthard	McLaren - Mercedes	65	+51.616	3
Nick Heidfeld	Sauber - Petronas	65	+1:01.893	10
Olivier Panis	BAR - Honda	65	+1:04.977	11
Kimi Räikkönen	Sauber - Petronas	65	+1:19.808	9
Mika Häkkinen	McLaren - Mercedes	64	Clutch	2
Jean Alesi	Prost - Acer	64	+1 Lap	15
Luciano Burti	Prost - Acer	64	+1 Lap	14
Jos Verstappen	Arrows - Asiatech	63	+2 Laps	17
Fernando Alonso	Minardi - European	63	+2 Laps	18
Giancarlo Fisichella	Benetton - Renault	63	+2 Laps	19
Jenson Button	Benetton - Renault	62	+3 Laps	21
Tarso Marques	Minardi - European	62	+3 Laps	22
Rubens Barrichello	Ferrari	49	Suspension	4
Eddie Irvine	Jaguar - Cosworth	48	Engine	13
Ralf Schumacher	Williams - BMW	20	Brakes	5
Enrique Bernoldi	Arrows - Asiatech	8	Fuel Pressure	16
Pedro de la Rosa	Jaguar - Cosworth	5	Collision	20
Heinz-Harald Frentzen	Jordan - Honda	5	Collision	8
