Class	Type	Fleet numbers	Quantity made	Manufacturer	Date made	Date withdrawn
A	4-4-0	3–5, 9, 17, 20, 34, 63–68	13	York Road Works (7) Derby Works (6)	1901–1908	1929–1936
B	4-4-0	24, 59–62	5	Beyer, Peacock & Co.	1897–1898	1924–1932
C	2-4-0	21, 33, 50–52, 56–57	7	Beyer, Peacock & Co.	1890–1895	1926–1942
D	2-4-0	50, 55	2	Beyer, Peacock & Co.	1895	1944–1946
E	0-6-0	53–54	2	Beyer, Peacock & Co.	1892	1934–1944
F	2-4-0	45–46, 23	3	Beyer, Peacock & Co.	1880–1885	1938–1942
G	2-4-0	6, 8, 10–11, 22, 27, 29, 40–41	9	Sharp, Stewart & Co. (7) Beyer, Peacock & Co. (2)	1872–1878	1925–1933
H	2-4-0	12–17	6	Sharp, Stewart & Co.	1856	1908–1924
I	2-4-0	40–41	2	Beyer, Peacock & Co.	1868	1924
J	2-4-0T	25, 47–49	4	Beyer, Peacock & Co.	1883	1932–1934
K	0-6-0	7, 28, 30–32, 38–39, 43–44	9	Sharp, Stewart & Co. (7) Beyer, Peacock & Co. (2)	1867–1880	1925–1947
L	0-6-0	18–19, 35	3	Sharp, Stewart & Co.	1857–1861	1925–1933
L1	0-6-0	36–37	2	Beyer, Peacock & Co.	1863	1928–1932
M	0-4-2	26	1	York Road Works	1873	1925
N	0-4-0ST	42	1	Sharp, Stewart & Co.	1875	1925
O	0-4-2ST	60–62	3	Black, Hawthorn & Co	1874–1875	1911–1923
P	2-4-0T	63–64	2	Beyer, Peacock & Co.	1877–1878	1920–1928
Q	0-6-0T	65–67	3	Beyer, Peacock & Co.	1977–1882	1931–1933
R	2-6-0ST	68	1	Beyer, Peacock & Co.	1880	1934
S	2-4-2T	69–70	2	Beyer, Peacock & Co.	1882	1946–1954
