Year	Entrant	Chassis	Engine	Points
1955	Cooper Car Company	Cooper T40	Bristol Straight-6	0
1956	Jack Brabham	Maserati 250F	Maserati Straight-6	0
1957	Cooper Car Company	Cooper T43	Climax Straight-4	0
1957	Rob Walker Racing Team	Cooper T43	Climax Straight-4	0
1958	Cooper Car Company	Cooper T45	Climax Straight-4	3
1959	Cooper Car Company	Cooper T51	Climax Straight-4	31 (34)
1960	Cooper Car Company	Cooper T51	Climax Straight-4	43
1960	Cooper Car Company	Cooper T53	Climax Straight-4	43
1961	Cooper Car Company	Cooper T55	Climax Straight-4	4
1961	Cooper Car Company	Cooper T58	Climax V8	4
1962	Brabham Racing Organisation	Lotus 24	Climax V8	9
1962	Brabham Racing Organisation	Brabham BT3	Climax V8	9
1963	Brabham Racing Organisation	Lotus 25	Climax V8	14
1963	Brabham Racing Organisation	Brabham BT3	Climax V8	14
1963	Brabham Racing Organisation	Brabham BT7	Climax V8	14
1964	Brabham Racing Organisation	Brabham BT7	Climax V8	11
1964	Brabham Racing Organisation	Brabham BT11	Climax V8	11
1965	Brabham Racing Organisation	Brabham BT11	Climax V8	9
1966	Brabham Racing Organisation	Brabham BT19	Repco V8	42 (45)
1966	Brabham Racing Organisation	Brabham BT20	Repco V8	42 (45)
1967	Brabham Racing Organisation	Brabham BT20	Repco V8	46 (48)
1967	Brabham Racing Organisation	Brabham BT19	Repco V8	46 (48)
1967	Brabham Racing Organisation	Brabham BT24	Repco V8	46 (48)
1968	Brabham Racing Organisation	Brabham BT24	Repco V8	2
1968	Brabham Racing Organisation	Brabham BT26	Repco V8	2
1969	Brabham Racing Organisation	Brabham BT26A	Cosworth V8	14
1970	Brabham Racing Organisation	Brabham BT33	Cosworth V8	25
