Name	Years	Gender	Area	Authority	Decile	Roll
Broadfield School	1–8	Coed	Selwyn	State	10	115
Burnham School	1–8	Coed	Burnham	State	9	128
Clearview Primary School	1–8	Coed	Rolleston	State	9	563
Darfield High School	7–13	Coed	Darfield	State	8	754
Darfield School	1–6	Coed	Darfield	State	7	221
Dunsandel School	1–6	Coed	Leeston	State	9	155
Ellesmere College	7–13	Coed	Leeston	State	8	488
Glentunnel School	1–6	Coed	Glentunnel	State	4	128
Greendale School	1–6	Coed	Greendale	State	9	31
Greenpark School	1–8	Coed	Selwyn	State	7	21
Hororata School	1–6	Coed	Hororata	State	8	54
Kirwee Model School	1–6	Coed	Kirwee	State	10	132
Ladbrooks School	1–8	Coed	Taitapu	State	10	106
Leeston School	1–6	Coed	Leeston	State	8	327
Lincoln High School	9–13	Coed	Lincoln	State	9	1508
Lincoln Primary School	1–8	Coed	Lincoln	State	10	408
Prebbleton School	1–8	Coed	Prebbleton	State	10	426
Rolleston School	1–8	Coed	Rolleston	State	9	694
Sheffield Contributing School	1–6	Coed	Sheffield and Waddington	State	7	80
Southbridge School	1–6	Coed	Southbridge	State	9	177
Springfield School	1–6	Coed	Springfield	State	6	35
Springston School	1–8	Coed	Springston	State	10	218
Tai Tapu School	1–8	Coed	Taitapu	State	9	297
Weedons School	1–8	Coed	Weedons	State	10	148
West Melton School	1–8	Coed	West Melton	State	10	341
Windwhistle School	1–6	Coed	Darfield	State	9	27
