Maker	Model	Intro year	Screen size (inch)	Self-lit	Screen type	Screen pixels
Amazon.com	Kindle Touch 3G	2011	6	no	eInk Pearl	600 × 800
Amazon.com	Kindle Touch	2011	6	no	eInk Pearl	600 × 800
Amazo n.com	Kindle 3 Wi-Fi 3G (Now Kindle Keyboard 3G)	2010	6	no	eInk Pearl	600 × 800
Amazon.com	Kindle 3 Wi-Fi (Now Kindle Keyboard)	2010	6	no	eInk Pearl	600 × 800
Amazon.com	Kindle DX 1st gen white	2009	9.7	no	eInk	824 × 1200
Amazon.com	Kindle DX 4th gen graphite	2010	9.7	no	eInk Pearl	824 × 1200
Amazon.com	Kindle 2	2009	6	no	eInk	600 × 800
Amazon.com	Kindle	2007	6	no	eInk	600 × 800
Asus	EEE Reader DR-900	2010	9	no	SiPix	768 × 1024
Barnes & Noble	Nook	2009	6	no	eInk	600 × 800
Bookeen	Cybook Gen3	2007	6	no	eInk	600 × 800
Bookeen	Cybook Opus	2009	5	no	eInk	600 × 800
EnTourage	EnTourage eDGe	2010	9.7	no	eInk & LCD	825 × 1200
EnTourage	Pocket eDGe	2010	6	no	eInk & LCD	600 × 800
Fnac	FnacBook	2010	6	no	eInk	600 × 800
Foxit Software	eSlick	2009	6	no	eInk	600 × 800
Icarus Reader	Icarus Reader Go	2010	6	no	eInk	600 × 800
Icarus Reader	Icarus Pocket	2012	6	no	eInk Pearl	800 × 600
Icarus Reader	Icarus Reader Sense	2010	6	no	SiPix	600 × 800
iRex Technologies	Digital Reader 800	2010	8.1	no	eInk	768 × 1024
iRex Technologies	Digital Reader 1000	2008	10.2	no	eInk	1024 × 1280
iRex Technologies	iLiad	2006	8.1	no	eInk	768 × 1024
Iriver	Story	2009	6	no	eInk	600 × 800
JinKe	Hanlin V3	2007	6	no	eInk	600 × 800
JinKe	Hanlin V2	2006	6	no	eInk	600 × 800
Kobo Inc.	Kobo eReader Wireless N647	2010	6	no	eInk	600 × 800
Kobo Inc.	Kobo eReader N416	2010	6	no	eInk	600 × 800
Nologies	Kogan eBook Reader	2010	6	no	eInk	600 × 800
Kyobo Inc.	Kyobo E-reader Mirasol	2011	5.7	no	Mirasol	768 × 1024
Onyx Inc.	BOOX A60/62	2009	6	no	eink	600 x 800
Onyx Inc.	Boox X60/60S	2010	6	no	eInk	600 × 800
Onyx Inc.	BOOX M90/M90S	2010	9.7	no	eInk Pearl	600 × 800
Onyx Inc.	Boox i62HD	2012	6	yes	eInk HD	758 × 1024
PocketBook	PocketBook Pro 603	2010	6	no	eInk	600 × 800
PocketBook	PocketBook Pro 602	2010	6	no	eInk	600 × 800
PocketBook	PocketBook Pro 903	2010	9.7	no	eInk	825 × 1200
PocketBook	PocketBook Pro 902	2010	9.7	no	eInk	825 × 1200
Samsung	Papyrus	2009	5	no	eInk	600 × 800
Samsung	E6	2010	6	no	eInk	600 × 800
Sony	Sony Reader Pocket Edition PRS-300SC	2011	5	no	eInk Vizplex	600 × 800
Sony	Sony Reader Pocket Edition PRS-350	2010	5	no	eInk Pearl	600 × 800
Sony	Sony Reader Touch Edition PRS-650	2010	6	no	eInk	600 × 800
Sony	Sony Reader Daily Edition PRS-900	2009	7.1	no	eInk	600 × 1024
Sony	Sony Reader Touch Edition PRS-600	2009	6	no	eInk	600 × 800
Sony	Sony Reader Pocket Edition PRS-300	2009	5	no	eInk	600 × 800
Sony	Sony Reader PRS-700	2008	6	Yes	eInk	600 × 800
Sony	Reader PRS-505	2008	6	no	eInk	600 × 800
Sony	Sony Reader PRS-500	2006	6	no	eInk	600 × 800
Sony	Reader PRS-T1	2011	6	no	eInk Pearl	600 × 800
Maker	Model	Intro year	Screen size (inch)	Self-lit	Screen type	Screen pixels
