Pick	Player	Position	Nationality	NHL team	College/junior/club team
183	Jason Boudrias	Forward	Canada	Florida Panthers	Laval Titan (QMJHL)
184	Brad Englehart	Centre	Canada	Anaheim Ducks	Kimball Union Academy (HS-New Hampshire)
185	Rob Guinn	Defence	Canada	Edmonton Oilers	Newmarket Royals (OHL)
186	Ramil Saifullin	Centre	Russia	Winnipeg Jets	Omsk Avangard (Russia)
187	Tom Buckley	Centre	United States	Hartford Whalers	St. Joseph's High School (HS-New York)
188	Jason Reid	Defence	Canada	Edmonton Oilers	St. Andrew's College (HS-Ontario)
189	Andrew Dale	Centre	Canada	Los Angeles Kings	Sudbury Wolves (OHL)
190	Alexei Baranov	Defence	Russia	Tampa Bay Lightning	Moscow Dynamo (Russia)
191	Jay Bertsch	Right Wing	Canada	Quebec Nordiques	Spokane Chiefs (WHL)
192	Derek Diener	Defence	Canada	Philadelphia Flyers	Lethbridge Hurricanes (WHL)
193	Eric Landry	Right Wing	Canada	San Jose Sharks	Guelph Storm (OHL)
194	Mike Loach	Right Wing	Canada	N.Y. Islanders	Windsor Spitfires (OHL)
195	Rob Trumbley	Right Wing	Canada	Vancouver Canucks	Moose Jaw Warriors (WHL)
196	Mike Josephson	Left Wing	Canada	Chicago Blackhawks	Kamloops Blazers (WHL)
197	Chris Patrick	Centre	United States	Washington Capitals	Kent High School (HS-Connecticut)
198	Steve Noble	Centre	Canada	St. Louis Blues	Stratford Cullitons (MOJHL)
199	Bob Westerby	Left Wing	Canada	Buffalo Sabres	Kamloops Blazers (WHL)
200	Peter Strom	Right Wing	Sweden	Montreal Canadiens	Västra Frölunda HC (Sweden)
201	Keith McCambridge	Defence	Canada	Calgary Flames	Swift Current Broncos (WHL)
202	Ray Giroux	Defence	Canada	Philadelphia Flyers	Powassan Hawks (MWJHL)
203	Peter Hogardh	Right Wing	Sweden	N.Y. Islanders	Västra Frölunda HC (Sweden)
204	Rob Butler	Left Wing	Canada	Toronto Maple Leafs	Niagara Falls Canucks (GHJHL)
205	Jason Elliott	Goaltender	Canada	Detroit Red Wings	Cornell University (NCAA)
206	Boris Zelenko	Centre	Russia	Pittsburgh Penguins	CSKA Moscow (Russia)
207	Eric Bertrand	Left Wing	Canada	New Jersey Devils	Granby Bisons (QMJHL)
208	Craig Anderson	Defence	United States	N.Y. Rangers	Park Center High School (HS-Minnesota)
