PowerShell (Cmdlet)	PowerShell (Alias)	CMD.EXE / COMMAND.COM	Unix shell	Description
Get-Content	gc, type, cat	type	cat	Get the content of a file
Get-Command	gcm	help	help , which	List available commands
Get-Help	help, man	help	man	Help on commands
Copy-Item	cpi, copy, cp	copy	cp	Copy one or several files / a whole directory tree
Move-Item	mi, move, mv	move	mv	Move a file / a directory to a new location
Remove-Item	ri, del, erase, rmdir, rd, rm	del , erase , rmdir , rd	rm , rmdir	Delete a file / a directory
Rename-Item	rni, ren, mv	ren , rename	mv	Rename a file / a directory
Push-Location	pushd	pushd	pushd	Push the current directory onto the stack
Set-Location	sl, cd, chdir	cd , chdir	cd	Change the current directory
Write-Output	echo, write	echo	echo	Print strings, variables etc. to standard output
Select-String	sls	find , findstr	grep	Print lines matching a pattern
Set-Variable	sv, set	set	env, export, set, setenv	Set the value of a variable / create a variable
